open_time,open_time_ms,symbol,timeframe,side,entry,stop_loss,take_profit,exit_price,exit_reason,pnl_pct
2020-01-09 00:00:00,1578528000000,ETH/USDT,1d,long,137.73,125.78,140.4846,140.4846,target,1.0
2020-01-13 00:00:00,1578873600000,ETH/USDT,1d,long,143.58,138.7,146.4516,146.4516,target,1.0
2020-01-23 00:00:00,1579737600000,ETH/USDT,1d,long,162.97,158.43,166.2294,158.43,stop,-1.39
2020-01-24 00:00:00,1579824000000,ETH/USDT,1d,long,162.63,158.43,165.8826,158.43,stop,-1.29
2020-01-25 00:00:00,1579910400000,ETH/USDT,1d,long,160.52,158.43,163.7304,163.7304,target,1.0
2020-01-26 00:00:00,1579996800000,ETH/USDT,1d,short,167.9,170.34,164.542,170.34,stop,-0.73
2020-01-27 00:00:00,1580083200000,ETH/USDT,1d,short,170.21,170.34,166.8058,170.34,stop,-0.04
2020-01-28 00:00:00,1580169600000,ETH/USDT,1d,short,175.88,179.57,172.36239999999998,179.57,stop,-1.05
2020-02-15 00:00:00,1581724800000,ETH/USDT,1d,long,265.08,218.64,270.3816,270.3816,target,1.0
2020-02-16 00:00:00,1581811200000,ETH/USDT,1d,long,258.87,218.64,264.0474,264.0474,target,1.0
2020-02-17 00:00:00,1581897600000,ETH/USDT,1d,long,268.0,218.64,273.36,273.36,target,1.0
2020-02-19 00:00:00,1582070400000,ETH/USDT,1d,long,258.43,218.64,,218.64,stop,-15.4
2020-02-26 00:00:00,1582675200000,ETH/USDT,1d,long,224.1,217.32,,217.32,stop,-3.03
2020-02-27 00:00:00,1582761600000,ETH/USDT,1d,long,227.92,217.32,,217.32,stop,-4.65
2020-02-28 00:00:00,1582848000000,ETH/USDT,1d,long,227.09,217.32,,217.32,stop,-4.3
2020-02-29 00:00:00,1582934400000,ETH/USDT,1d,long,217.31,217.32,,217.32,stop,0.0
2020-03-01 00:00:00,1583020800000,ETH/USDT,1d,long,218.01,217.32,,217.32,stop,-0.32
2020-03-02 00:00:00,1583107200000,ETH/USDT,1d,long,232.22,229.96,,229.96,stop,-0.97
2020-03-03 00:00:00,1583193600000,ETH/USDT,1d,long,224.1,217.32,228.582,228.582,target,1.0
2020-03-04 00:00:00,1583280000000,ETH/USDT,1d,long,224.47,217.32,228.95940000000002,228.95940000000002,target,1.0
2020-03-05 00:00:00,1583366400000,ETH/USDT,1d,long,228.64,217.32,233.2128,233.2128,target,1.0
2020-03-06 00:00:00,1583452800000,ETH/USDT,1d,long,244.94,237.86,249.8388,237.86,stop,-1.45
2020-03-07 00:00:00,1583539200000,ETH/USDT,1d,long,237.34,218.64,242.0868,218.64,stop,-3.94
2020-03-08 00:00:00,1583625600000,ETH/USDT,1d,long,199.54,184.71,203.5308,203.5308,target,1.0
2020-03-09 00:00:00,1583712000000,ETH/USDT,1d,long,203.02,184.71,207.08040000000003,184.71,stop,-4.51
2020-03-11 00:00:00,1583884800000,ETH/USDT,1d,long,194.81,184.71,198.7062,184.71,stop,-2.59
2020-03-20 00:00:00,1584662400000,ETH/USDT,1d,long,133.52,121.16,137.52560000000003,137.52560000000003,target,0.75
2020-03-21 00:00:00,1584748800000,ETH/USDT,1d,long,132.67,121.16,136.65009999999998,121.16,stop,-2.17
2020-03-22 00:00:00,1584835200000,ETH/USDT,1d,long,122.25,100.11,125.9175,125.9175,target,0.75
2020-03-25 00:00:00,1585094400000,ETH/USDT,1d,long,136.1,119.0,140.183,140.183,target,0.75
2020-03-27 00:00:00,1585267200000,ETH/USDT,1d,long,131.27,121.0,135.2081,135.2081,target,0.75
2020-04-01 00:00:00,1585699200000,ETH/USDT,1d,long,135.6,121.0,139.668,139.668,target,0.75
2020-04-02 00:00:00,1585785600000,ETH/USDT,1d,short,141.3,143.44,137.061,143.44,stop,-0.38
2020-04-03 00:00:00,1585872000000,ETH/USDT,1d,short,141.23,143.44,136.9931,143.44,stop,-0.39
2020-04-05 00:00:00,1586044800000,ETH/USDT,1d,short,142.59,143.44,138.3123,143.44,stop,-0.15
2020-04-10 00:00:00,1586476800000,ETH/USDT,1d,long,157.69,145.52,162.4207,162.4207,target,0.75
2020-04-12 00:00:00,1586649600000,ETH/USDT,1d,long,158.72,145.52,163.48160000000001,163.48160000000001,target,0.75
2020-04-16 00:00:00,1586995200000,ETH/USDT,1d,short,172.27,174.59,167.1019,174.59,stop,-0.34
2020-04-17 00:00:00,1587081600000,ETH/USDT,1d,short,170.56,174.59,165.4432,174.59,stop,-0.59
2020-04-18 00:00:00,1587168000000,ETH/USDT,1d,short,187.48,208.65,181.85559999999998,181.85559999999998,target,0.75
2020-04-20 00:00:00,1587340800000,ETH/USDT,1d,long,170.19,148.07,,1963.48,end,1053.7
