date,open,high,low,close,volume,quote_volume
2022-01-01,46210.57,47943.77,46210.55,47704.35,179433.584,8461832661.65729
2022-01-02,47704.35,48000.0,46605.68,47280.0,184795.093,8730148323.6079
2022-01-03,47280.01,47575.22,45665.4,46445.81,244781.793,11434725784.02273
2022-01-04,46445.8,47524.36,45445.57,45833.42,292149.75,13573606756.16807
2022-01-05,45833.41,47075.29,42270.0,43421.69,485477.569,21959888820.89765
2022-01-06,43421.7,43766.0,42385.83,43080.01,299509.851,12890924257.87606
2022-01-07,43080.01,43135.0,40456.56,41553.86,473214.849,19783906992.59905
2022-01-08,41553.87,42335.0,40500.0,41688.05,283737.224,11779922567.4038
2022-01-09,41688.05,42773.85,41170.0,41851.22,223134.952,9347759287.48888
2022-01-10,41851.22,42219.84,39610.0,41801.55,453644.116,18676770270.33546
2022-01-11,41801.55,43118.0,41255.0,42700.68,323760.691,13657150777.60344
2022-01-12,42700.69,44300.0,42415.0,43880.72,281339.294,12189347664.02133
2022-01-13,43880.72,44396.68,42301.16,42534.32,289289.18,12536916955.57177
2022-01-14,42538.72,43450.0,41666.0,43042.4,272517.077,11620761638.67808
2022-01-15,43042.4,43800.0,42530.64,43070.51,184649.157,7962625061.63067
2022-01-16,43070.51,43464.71,42531.69,43060.66,177450.475,7638792723.4354
2022-01-17,43060.66,43159.32,41523.68,42176.34,232748.345,9870740739.62078
2022-01-18,42176.34,42680.0,41260.0,42337.58,267472.465,11189671439.34784
2022-01-19,42337.58,42545.0,41115.64,41657.89,333952.095,13989826398.11288
2022-01-20,41656.9,43495.0,40550.0,40661.69,399818.052,16867468374.30662
2022-01-21,40662.06,41095.76,35380.92,36425.98,790320.909,30302616543.91132
2022-01-22,36426.46,36817.74,33950.0,35043.73,676272.904,23906967843.02501
2022-01-23,35043.73,36496.92,34588.8,36230.01,369372.903,13097400243.75661
2022-01-24,36230.0,37528.0,32853.83,36648.31,823000.702,28523818659.37716
2022-01-25,36648.3,37561.03,35693.0,36934.26,409535.517,14967474932.81879
2022-01-26,36934.26,38886.58,36232.42,36787.43,554457.384,20858872853.19313
2022-01-27,36787.42,37200.0,35471.53,37131.0,422006.922,15328505621.72229
2022-01-28,37131.0,38000.0,36149.02,37696.21,367509.143,13594591900.12492
2022-01-29,37696.22,38750.94,37252.0,38150.01,238657.764,9034176250.23326
2022-01-30,38150.0,38420.3,37334.83,37870.01,195029.125,7393111440.65068
2022-01-31,37870.0,38741.73,36620.0,38439.04,318440.392,11976940218.20276
2022-02-01,38439.04,39260.26,37969.0,38680.51,353354.121,13632595784.2999
2022-02-02,38680.51,38834.18,36529.81,36892.03,337570.934,12748099870.64242
2022-02-03,36892.05,37395.0,36204.3,37289.86,318656.228,11697089175.17526
2022-02-04,37287.33,41741.76,37011.0,41550.0,520105.77,20278655698.32346
2022-02-05,41550.0,41922.0,40920.0,41374.69,242184.07,10047968021.9499
2022-02-06,41374.68,42656.8,41100.0,42361.35,215323.95,8973046762.87637
2022-02-07,42361.34,44541.16,41609.76,43829.99,418053.774,18066735189.2121
2022-02-08,43829.99,45600.0,42641.0,44021.57,468015.421,20510408716.12763
2022-02-09,44021.58,44826.0,43089.08,44358.08,300270.062,13182555302.94626
2022-02-10,44358.09,45847.5,43136.96,43471.29,563922.075,25056911387.52332
