price_lo,price_hi,mid,long_usd,short_usd,total_usd,long_pct_oi,short_pct_oi,pct_from_mark,dominant
65246.94,65631.88,65439.41,98942611.57,0.0,98942611.57,0.696,0.0,-15.0,long
65631.88,66016.82,65824.35,147815824.42,0.0,147815824.42,1.039,0.0,-14.5,long
66016.82,66401.75,66209.29,111794619.51,0.0,111794619.51,0.786,0.0,-14.0,long
66401.75,66786.69,66594.22,127949518.55,0.0,127949518.55,0.9,0.0,-13.5,long
66786.69,67171.63,66979.16,178275277.85,0.0,178275277.85,1.254,0.0,-13.0,long
67171.63,67556.57,67364.1,206153109.24,0.0,206153109.24,1.45,0.0,-12.5,long
67556.57,67941.51,67749.04,207413063.07,0.0,207413063.07,1.458,0.0,-12.0,long
67941.51,68326.44,68133.97,191362211.16,0.0,191362211.16,1.346,0.0,-11.5,long
68326.44,68711.38,68518.91,310641881.44,19129800.37,329771681.81,2.184,0.135,-11.0,long
68711.38,69096.32,68903.85,233346127.29,29872164.57,263218291.86,1.641,0.21,-10.5,long
69096.32,69481.26,69288.79,216892779.44,65022365.18,281915144.61,1.525,0.457,-10.0,long
69481.26,69866.19,69673.73,277516943.62,58407594.39,335924538.01,1.951,0.411,-9.5,long
69866.19,70251.13,70058.66,311133946.53,98833937.61,409967884.14,2.188,0.695,-9.0,long
70251.13,70636.07,70443.6,212355023.47,97527780.42,309882803.89,1.493,0.686,-8.5,long
70636.07,71021.01,70828.54,403352621.07,75365767.34,478718388.41,2.836,0.53,-8.0,long
71021.01,71405.95,71213.48,254241386.0,45656058.57,299897444.57,1.788,0.321,-7.5,long
71405.95,71790.88,71598.41,135684827.18,91909322.85,227594150.03,0.954,0.646,-7.0,long
71790.88,72175.82,71983.35,276110841.43,105941369.47,382052210.9,1.942,0.745,-6.5,long
72175.82,72560.76,72368.29,202794297.48,169584678.18,372378975.66,1.426,1.192,-6.0,long
72560.76,72945.7,72753.23,141073559.86,176211984.16,317285544.02,0.992,1.239,-5.5,short
72945.7,73330.63,73138.16,123811539.25,98677274.9,222488814.14,0.871,0.694,-5.0,long
73330.63,73715.57,73523.1,446339860.58,117493033.37,563832893.94,3.139,0.826,-4.5,long
73715.57,74100.51,73908.04,131324104.85,98743162.67,230067267.51,0.923,0.694,-4.0,long
74100.51,74485.45,74292.98,360051396.88,127137876.56,487189273.44,2.532,0.894,-3.5,long
74485.45,74870.38,74677.92,338011800.24,88318089.14,426329889.38,2.377,0.621,-3.0,long
74870.38,75255.32,75062.85,132371632.57,137972780.46,270344413.03,0.931,0.97,-2.5,short
75255.32,75640.26,75447.79,283849908.14,152468603.33,436318511.47,1.996,1.072,-2.0,long
75640.26,76025.2,75832.73,307829033.09,141349712.62,449178745.71,2.165,0.994,-1.5,long
76025.2,76410.14,76217.67,201813082.41,190871205.96,392684288.37,1.419,1.342,-1.0,long
76410.14,76795.07,76602.6,208299574.83,86452890.96,294752465.79,1.465,0.608,-0.5,long
76795.07,77180.01,76987.54,368328969.93,60256053.91,428585023.84,2.59,0.424,0.0,long
77180.01,77564.95,77372.48,115672323.48,183502826.26,299175149.75,0.813,1.29,0.5,short
77564.95,77949.89,77757.42,196032943.72,150162450.94,346195394.66,1.378,1.056,1.0,long
77949.89,78334.82,78142.36,29030657.56,248968239.96,277998897.51,0.204,1.751,1.5,short
78334.82,78719.76,78527.29,0.0,210465013.63,210465013.63,0.0,1.48,2.0,short
78719.76,79104.7,78912.23,0.0,201016340.59,201016340.59,0.0,1.413,2.5,short
79104.7,79489.64,79297.17,0.0,171510175.95,171510175.95,0.0,1.206,3.0,short
79489.64,79874.57,79682.11,0.0,298255788.45,298255788.45,0.0,2.097,3.5,short
79874.57,80259.51,80067.04,0.0,111331846.22,111331846.22,0.0,0.783,4.0,short
80259.51,80644.45,80451.98,0.0,101496641.22,101496641.22,0.0,0.714,4.5,short
80644.45,81029.39,80836.92,0.0,150388201.06,150388201.06,0.0,1.057,5.0,short
81029.39,81414.33,81221.86,0.0,121492379.36,121492379.36,0.0,0.854,5.5,short
81414.33,81799.26,81606.79,0.0,101607565.03,101607565.03,0.0,0.714,6.0,short
81799.26,82184.2,81991.73,0.0,215919742.82,215919742.82,0.0,1.518,6.5,short
82184.2,82569.14,82376.67,0.0,51368992.45,51368992.45,0.0,0.361,7.0,short
82569.14,82954.08,82761.61,0.0,35701412.68,35701412.68,0.0,0.251,7.5,short
82954.08,83339.01,83146.55,0.0,113439384.63,113439384.63,0.0,0.798,8.0,short
83339.01,83723.95,83531.48,0.0,50829050.47,50829050.47,0.0,0.357,8.5,short
84108.89,84493.83,84301.36,0.0,87560801.37,87560801.37,0.0,0.616,9.5,short
84493.83,84878.77,84686.3,0.0,64305785.04,64305785.04,0.0,0.452,10.0,short
84878.77,85263.7,85071.23,0.0,41485670.08,41485670.08,0.0,0.292,10.5,short
85263.7,85648.64,85456.17,0.0,22850438.51,22850438.51,0.0,0.161,11.0,short
85648.64,86033.58,85841.11,0.0,166054940.33,166054940.33,0.0,1.168,11.5,short
86033.58,86418.52,86226.05,0.0,20143589.51,20143589.51,0.0,0.142,12.0,short
86418.52,86803.45,86610.98,0.0,16784381.46,16784381.46,0.0,0.118,12.5,short
86803.45,87188.39,86995.92,0.0,12806994.19,12806994.19,0.0,0.09,13.0,short
87188.39,87573.33,87380.86,0.0,5560883.59,5560883.59,0.0,0.039,13.5,short
87573.33,87958.27,87765.8,0.0,3505067.03,3505067.03,0.0,0.025,14.0,short
87958.27,88343.2,88150.74,0.0,4041498.09,4041498.09,0.0,0.028,14.5,short
