date,open,high,low,close,volume,quote_volume,oi_btc,funding_mean,funding_sum,bn_oi_usd,bn_oi_btc,oi_usd,usdt_d,usdt_mcap,total_mcap,btc_dominance,usdt_d_source
2022-01-01,46210.57,47943.77,46210.55,47704.35,179433.584,8461832661.65729,15863.152,0.0001,0.0003,,,756741355.1112,4.241718142190379,79326554298.0,1870151472559.5745,,proxy_calibrated
2022-01-02,47704.35,48000.0,46605.68,47280.0,184795.093,8730148323.6079,15636.474,0.0001,0.0003,,,739292490.72,4.215197598672834,78778422990.0,1868914117212.5264,,proxy_calibrated
2022-01-03,47280.01,47575.22,45665.4,46445.81,244781.793,11434725784.02273,15370.184,0.0001,0.0003,,,713880645.7290399,4.269323007929552,78481342990.0,1838262011195.5469,,proxy_calibrated
2022-01-04,46445.8,47524.36,45445.57,45833.42,292149.75,13573606756.16807,17275.287,0.0001,0.0003,,,791785484.69154,4.291821966218018,78388221317.0,1826455569080.2856,,proxy_calibrated
2022-01-05,45833.41,47075.29,42270.0,43421.69,485477.569,21959888820.89765,15976.977,0.0001,0.0003,,,693747342.43113,4.5421597604083965,78502373121.0,1728304975207.2495,,proxy_calibrated
2022-01-06,43421.7,43766.0,42385.83,43080.01,299509.851,12890924257.87606,16322.491,0.0001,0.0003,,,703173075.50491,4.635234433376794,78772213379.0,1699422424285.3235,,proxy_calibrated
2022-01-07,43080.01,43135.0,40456.56,41553.86,473214.849,19783906992.59905,16478.682,0.0001,0.0003,,,684752844.81252,4.8273449013625855,78639572254.0,1629043995422.8853,,proxy_calibrated
2022-01-08,41553.87,42335.0,40500.0,41688.05,283737.224,11779922567.4038,16241.542,0.0001,0.0003,,,677078214.9731001,4.863713277807387,78498478180.0,1613961878431.04,,proxy_calibrated
2022-01-09,41688.05,42773.85,41170.0,41851.22,223134.952,9347759287.48888,16602.316,0.0001,0.0003,,,694827179.42552,4.8071992468211455,78296609765.0,1628736520891.56,,proxy_calibrated
2022-01-10,41851.22,42219.84,39610.0,41801.55,453644.116,18676770270.33546,16902.526,8.174e-05,0.00024522,,,706551785.7153001,4.828648614025337,78054241928.0,1616482129208.635,,proxy_calibrated
2022-01-11,41801.55,43118.0,41255.0,42700.68,323760.691,13657150777.60344,17321.637,9.131333333333336e-05,0.00027394,,,739645678.6131599,4.71742743328246,78481657327.0,1663653727311.1,,proxy_calibrated
2022-01-12,42700.69,44300.0,42415.0,43880.72,281339.294,12189347664.02133,17906.586,-1.6300000000000007e-06,-4.890000000000002e-06,,,785753886.42192,4.583735343918213,78555065237.0,1713778378178.582,,proxy_calibrated
2022-01-13,43880.72,44396.68,42301.16,42534.32,289289.18,12536916955.57177,17247.31399999,-1.1956666666666669e-05,-3.587e-05,,,733602772.8160547,4.727275262756489,78482021770.0,1660195723915.5327,,proxy_calibrated
2022-01-14,42538.72,43450.0,41666.0,43042.4,272517.077,11620761638.67808,18198.255,-5.0776666666666664e-05,-0.00015233,,,783296571.0120001,4.656131149935674,78355483483.0,1682845284203.0127,,proxy_calibrated
2022-01-15,43042.4,43800.0,42530.64,43070.51,184649.157,7962625061.63067,17673.183,4.9810000000000006e-05,0.00014943,,,761193005.1333301,4.652163759114409,78464443412.0,1686622558336.9526,,proxy_calibrated
2022-01-16,43070.51,43464.71,42531.69,43060.66,177450.475,7638792723.4354,17572.264,3.453333333333333e-05,0.0001036,,,756673285.53424,4.635674077797925,78324639023.0,1689606251615.6526,,proxy_calibrated
2022-01-17,43060.66,43159.32,41523.68,42176.34,232748.345,9870740739.62078,16987.142,6.132666666666667e-05,0.00018398,,,716455476.6202799,4.76301875225055,78423364533.0,1646505475040.2688,,proxy_calibrated
2022-01-18,42176.34,42680.0,41260.0,42337.58,267472.465,11189671439.34784,19263.575,9.999333333333336e-05,0.00029998,,,815573147.6485001,4.7749358448931565,78444685550.0,1642842712408.3228,,proxy_calibrated
2022-01-19,42337.58,42545.0,41115.64,41657.89,333952.095,13989826398.11288,18831.95599999,8.324333333333332e-05,0.00024973,,,784499551.5324235,4.856348492348004,78383467334.0,1614041238134.0913,,proxy_calibrated
2022-01-20,41656.9,43495.0,40550.0,40661.69,399818.052,16867468374.30662,19628.126,0.0001,0.0003,,,798112774.69294,4.971817871341366,78380618748.0,1576498189923.7068,,proxy_calibrated
2022-01-21,40662.06,41095.76,35380.92,36425.98,790320.909,30302616543.91132,19525.181,7.583e-05,0.00022749,,,711223852.60238,5.575802635864917,78282598757.0,1403970044661.6836,,proxy_calibrated
2022-01-22,36426.46,36817.74,33950.0,35043.73,676272.904,23906967843.02501,17397.621,4.357e-05,0.00013071,,,609677532.96633,5.808893987527743,78144826788.0,1345261713430.8958,,proxy_calibrated
2022-01-23,35043.73,36496.92,34588.8,36230.01,369372.903,13097400243.75661,16929.567,2.3903333333333335e-05,7.171e-05,,,613358381.70567,5.623670890760456,78448336905.0,1394966711759.192,,proxy_calibrated
2022-01-24,36230.0,37528.0,32853.83,36648.31,823000.702,28523818659.37716,17402.20599999,4.6979999999999994e-05,0.00014094,,,637761440.1714935,5.636050406481256,78310182894.0,1389451428680.377,,proxy_calibrated
2022-01-25,36648.3,37561.03,35693.0,36934.26,409535.517,14967474932.81879,15881.256,2.706e-05,8.118e-05,,,586562438.2305601,5.619085113072224,78669518056.0,1400041403056.584,,proxy_calibrated
2022-01-26,36934.26,38886.58,36232.42,36787.43,554457.384,20858872853.19313,17134.126,-1.7863333333333332e-05,-5.359e-05,,,630320460.83618,5.6042755164728675,78269272661.0,1396599300497.273,,proxy_calibrated
2022-01-27,36787.42,37200.0,35471.53,37131.0,422006.922,15328505621.72229,16385.29499999,-7.536333333333334e-05,-0.00022609,,,608402388.6446288,5.626601383009906,78752828372.0,1399651814855.8054,,proxy_calibrated
2022-01-28,37131.0,38000.0,36149.02,37696.21,367509.143,13594591900.12492,16040.683,3.184e-05,9.552e-05,,,604672954.91143,5.49509223753138,78718773466.0,1432528701308.273,,proxy_calibrated
2022-01-29,37696.22,38750.94,37252.0,38150.01,238657.764,9034176250.23326,17828.88399999,3.7233333333333334e-06,1.117e-05,,,680172102.8884586,5.388928133970851,78249351193.0,1452039241342.4463,,proxy_calibrated
2022-01-30,38150.0,38420.3,37334.83,37870.01,195029.125,7393111440.65068,18611.928,8.392000000000001e-05,0.00025176,,,704833899.47928,5.421817426542974,78366901631.0,1445399124790.6667,,proxy_calibrated
2022-01-31,37870.0,38741.73,36620.0,38439.04,318440.392,11976940218.20276,17742.46,-1.363333333333333e-05,-4.089999999999999e-05,,,682003129.6384,5.310286990411718,78198382293.0,1472582977797.5354,,proxy_calibrated
