entry_date,exit_date,side,entry,exit,pnl_pct,hold_days,reason
2022-05-10,2022-05-10,short,30056.0,30957.68,-2.953,1,sl
2022-07-10,2022-07-11,short,21580.0,20285.2,6.343,2,tp
2022-10-05,2022-10-10,short,20332.9,19112.93,6.343,6,tp
2022-10-13,2022-10-13,short,19148.1,17999.21,6.343,1,tp
2022-10-19,2022-10-25,short,19320.9,19900.53,-2.953,7,sl
2022-12-15,2022-12-16,short,17804.0,16735.76,6.343,2,tp
2022-12-24,2023-01-02,short,16776.3,16666.0,0.622,10,time
2023-05-19,2023-05-28,short,26809.4,27613.68,-2.953,10,sl
2023-09-28,2023-09-28,short,26359.6,27150.39,-2.953,1,sl
2023-10-12,2023-10-16,short,26864.5,27670.44,-2.953,5,sl
2023-12-09,2023-12-11,short,44209.6,41557.02,6.343,3,tp
2023-12-30,2024-01-01,short,42095.1,43357.95,-2.953,3,sl
2024-02-27,2024-02-27,short,54511.7,56147.05,-2.953,1,sl
2024-03-06,2024-03-06,short,63747.5,65659.93,-2.953,1,sl
2024-05-14,2024-05-15,short,62912.2,64799.57,-2.953,2,sl
2024-05-30,2024-06-03,short,67686.8,69717.4,-2.953,5,sl
2024-06-06,2024-06-11,short,71133.3,66865.3,6.343,6,tp
2024-09-21,2024-09-26,short,63175.8,65071.07,-2.953,6,sl
2024-09-28,2024-10-01,short,65749.5,61804.53,6.343,4,tp
2024-10-18,2024-10-20,short,67401.5,69423.54,-2.953,3,sl
2024-10-22,2024-10-28,short,67368.7,69389.76,-2.953,7,sl
2024-11-27,2024-11-27,short,92021.5,94782.15,-2.953,1,sl
2025-03-30,2025-04-01,short,82604.8,85082.94,-2.953,3,sl
2025-04-08,2025-04-09,short,79140.1,81514.3,-2.953,2,sl
2025-04-14,2025-04-15,short,83713.8,86225.21,-2.953,2,sl
2025-05-23,2025-05-30,short,111662.6,104962.84,6.343,8,tp
2025-07-13,2025-07-14,short,117389.4,120911.08,-2.953,2,sl
2025-07-16,2025-07-25,short,117738.6,117583.5,0.092,10,time
2025-10-03,2025-10-05,short,120481.3,124095.74,-2.953,3,sl
2025-11-15,2025-11-19,short,94544.9,88872.21,6.343,5,tp
2025-12-31,2026-01-04,short,88455.2,91108.86,-2.953,5,sl
2026-05-15,2026-05-18,short,81048.8,76185.87,6.343,4,tp
2026-05-29,2026-06-02,short,73591.4,69175.92,6.343,5,tp
2026-08-01,2026-08-05,short,62859.9,64745.7,-2.953,5,sl
