entry_date,exit_date,side,entry,exit,pnl_pct,r_multiple,hold_bars,hold_days,reason
2022-02-18,2022-02-21,short,40491.8,37252.46,8.656,2.885,4,4.0,tp
2022-03-05,2022-03-09,short,39127.7,40301.53,-2.953,-0.984,5,5.0,sl
2022-05-06,2022-05-09,short,36533.7,33611.0,8.656,2.885,4,4.0,tp
2022-07-08,2022-07-08,short,21614.5,22262.94,-2.953,-0.984,1,1.0,sl
2022-07-10,2022-07-12,short,21580.0,19853.6,8.656,2.885,3,3.0,tp
2022-08-15,2022-08-17,long,24294.1,23565.28,-3.04,-1.013,3,3.0,sl
2022-10-06,2022-10-13,short,20149.9,18537.91,8.656,2.885,8,8.0,tp
2022-10-19,2022-10-25,short,19320.9,19900.53,-2.953,-0.984,7,7.0,sl
2022-12-16,2022-12-25,short,17351.9,16824.4,3.095,1.032,10,10.0,time
2022-12-30,2023-01-08,short,16630.3,17129.21,-2.953,-0.984,10,10.0,sl
2023-02-12,2023-02-15,long,21851.2,23599.3,7.96,2.653,4,4.0,tp
2023-02-24,2023-02-24,long,23928.7,23210.84,-3.04,-1.013,1,1.0,sl
2023-03-06,2023-03-08,long,22419.3,21746.72,-3.04,-1.013,3,3.0,sl
2023-05-26,2023-05-28,short,26461.7,27255.55,-2.953,-0.984,3,3.0,sl
2023-09-28,2023-09-28,short,26359.6,27150.39,-2.953,-0.984,1,1.0,sl
2024-02-08,2024-02-09,long,44326.3,47872.4,7.96,2.653,2,2.0,tp
2024-05-14,2024-05-15,short,62912.2,64799.57,-2.953,-0.984,2,2.0,sl
2025-04-08,2025-04-09,short,79140.1,81514.3,-2.953,-0.984,2,2.0,sl
2025-04-14,2025-04-15,short,83713.8,86225.21,-2.953,-0.984,2,2.0,sl
2025-04-27,2025-05-06,long,94575.7,96798.9,2.311,0.77,10,10.0,time
2025-06-07,2025-06-16,long,104240.1,106750.1,2.368,0.789,10,10.0,time
2025-08-02,2025-08-11,long,113244.8,122304.38,7.96,2.653,10,10.0,tp
2025-08-16,2025-08-19,long,117279.1,113760.73,-3.04,-1.013,4,4.0,sl
2025-09-20,2025-09-22,long,115569.6,112102.51,-3.04,-1.013,3,3.0,sl
2025-11-15,2025-11-20,short,94544.9,86981.31,8.656,2.885,6,6.0,tp
2026-01-02,2026-01-04,short,88800.0,91464.0,-2.953,-0.984,3,3.0,sl
2026-04-16,2026-04-25,long,74776.3,77585.0,3.716,1.239,10,10.0,time
2026-06-03,2026-06-04,short,66730.1,61391.69,8.656,2.885,2,2.0,tp
2026-06-27,2026-07-02,short,60071.9,61874.06,-2.953,-0.984,6,6.0,sl
