entry_date,exit_date,side,entry,exit,pnl_pct,r_multiple,hold_bars,hold_days,reason
2022-02-26,2022-02-26,short,2766.42,2849.41,-2.953,-0.984,1,1.0,sl
2022-04-07,2022-04-11,long,3166.77,3071.77,-3.04,-1.013,5,5.0,sl
2022-07-07,2022-07-07,short,1186.36,1221.95,-2.953,-0.984,1,1.0,sl
2022-07-09,2022-07-11,short,1213.53,1116.45,8.656,2.885,3,3.0,tp
2022-08-24,2022-08-24,long,1664.19,1614.26,-3.04,-1.013,1,1.0,sl
2022-08-26,2022-08-26,long,1694.15,1643.33,-3.04,-1.013,1,1.0,sl
2022-10-19,2022-10-23,short,1309.93,1349.23,-2.953,-0.984,5,5.0,sl
2022-12-16,2022-12-16,short,1266.26,1164.96,8.656,2.885,1,1.0,tp
2022-12-31,2023-01-04,short,1199.67,1235.66,-2.953,-0.984,5,5.0,sl
2023-04-04,2023-04-13,long,1809.68,1954.45,7.96,2.653,10,10.0,tp
2023-10-07,2023-10-16,short,1644.32,1598.61,2.819,0.94,10,10.0,time
2024-02-08,2024-02-12,long,2424.21,2618.15,7.96,2.653,5,5.0,tp
2024-05-10,2024-05-18,short,3034.75,3125.79,-2.953,-0.984,9,9.0,sl
2024-09-23,2024-09-23,short,2579.95,2657.35,-2.953,-0.984,1,1.0,sl
2024-10-02,2024-10-11,short,2446.85,2438.46,0.304,0.101,10,10.0,time
2025-04-14,2025-04-14,short,1596.93,1644.84,-2.953,-0.984,1,1.0,sl
2025-04-25,2025-04-25,short,1768.79,1821.85,-2.953,-0.984,1,1.0,sl
2025-09-06,2025-09-12,long,4305.71,4650.17,7.96,2.653,7,7.0,tp
2025-11-19,2025-11-20,short,3122.2,2872.42,8.656,2.885,2,2.0,tp
2025-12-15,2025-12-15,short,3062.01,3153.87,-2.953,-0.984,1,1.0,sl
2026-01-11,2026-01-13,short,3085.47,3178.03,-2.953,-0.984,3,3.0,sl
2026-01-29,2026-01-29,short,3009.36,2768.61,8.656,2.885,1,1.0,tp
2026-02-27,2026-02-28,short,2026.7,1864.56,8.656,2.885,2,2.0,tp
2026-04-02,2026-04-07,short,2138.8,2202.96,-2.953,-0.984,6,6.0,sl
2026-05-30,2026-06-02,short,2013.36,1852.29,8.656,2.885,4,4.0,tp
2026-07-24,2026-08-01,long,1877.42,1821.1,-3.04,-1.013,9,9.0,sl
