entry_date,exit_date,side,entry,exit,pnl_pct,r_multiple,hold_bars,hold_days,reason
2022-02-12 08:00,2022-02-12 16:00,short,42090.75,42722.11,-1.518,-1.012,3,0.5,sl
2022-02-13 00:00,2022-02-14 12:00,short,42199.88,42832.88,-1.518,-1.012,10,1.667,sl
2022-02-17 04:00,2022-02-17 12:00,short,43574.3,41831.33,4.127,2.751,3,0.5,tp
2022-02-17 20:00,2022-02-18 16:00,short,41177.1,39530.02,4.127,2.751,6,1.0,tp
2022-02-19 04:00,2022-02-20 08:00,short,40107.7,38503.39,4.127,2.751,8,1.333,tp
2022-03-04 04:00,2022-03-04 16:00,short,41441.1,39783.46,4.127,2.751,4,0.667,tp
2022-03-05 00:00,2022-03-07 00:00,short,39127.7,37562.59,4.127,2.751,13,2.167,tp
2022-03-08 12:00,2022-03-09 00:00,short,38967.8,39552.32,-1.518,-1.012,4,0.667,sl
2022-03-31 04:00,2022-03-31 20:00,short,47088.3,45204.77,4.127,2.751,5,0.833,tp
2022-04-06 04:00,2022-04-06 16:00,short,45199.9,43391.9,4.127,2.751,4,0.667,tp
2022-04-07 00:00,2022-04-07 08:00,short,43159.8,43807.2,-1.518,-1.012,3,0.5,sl
2022-04-07 16:00,2022-04-08 08:00,short,43305.0,43954.57,-1.518,-1.012,5,0.833,sl
2022-04-08 16:00,2022-04-10 20:00,short,43636.3,41890.85,4.127,2.751,14,2.333,tp
2022-04-11 12:00,2022-04-11 20:00,short,41055.1,39412.9,4.127,2.751,3,0.5,tp
2022-04-17 12:00,2022-04-18 04:00,short,40454.6,38836.42,4.127,2.751,5,0.833,tp
2022-04-26 04:00,2022-04-26 12:00,short,40520.0,38899.2,4.127,2.751,3,0.5,tp
2022-04-26 20:00,2022-04-27 04:00,short,38250.6,38824.36,-1.518,-1.012,3,0.5,sl
2022-04-29 04:00,2022-04-30 20:00,short,39528.2,37947.07,4.127,2.751,11,1.833,tp
2022-05-01 20:00,2022-05-01 20:00,short,37789.9,38356.75,-1.518,-1.012,1,0.167,sl
2022-05-02 04:00,2022-05-04 16:00,short,38653.6,39233.4,-1.518,-1.012,16,2.667,sl
2022-05-05 04:00,2022-05-05 12:00,short,39731.3,38142.05,4.127,2.751,3,0.5,tp
2022-05-05 20:00,2022-05-07 20:00,short,36281.3,34830.05,4.127,2.751,13,2.167,tp
2022-05-08 12:00,2022-05-09 00:00,short,34780.5,33389.28,4.127,2.751,4,0.667,tp
2022-05-09 08:00,2022-05-09 12:00,short,33509.7,32169.31,4.127,2.751,2,0.333,tp
2022-05-09 20:00,2022-05-09 20:00,short,30930.2,31394.15,-1.518,-1.012,1,0.167,sl
2022-05-10 04:00,2022-05-10 04:00,short,30640.8,31100.41,-1.518,-1.012,1,0.167,sl
2022-05-10 16:00,2022-05-10 16:00,short,31314.3,31784.01,-1.518,-1.012,1,0.167,sl
2022-05-11 12:00,2022-05-11 12:00,short,31517.1,31989.86,-1.518,-1.012,1,0.167,sl
2022-05-13 20:00,2022-05-14 08:00,short,30076.0,28872.96,4.127,2.751,4,0.667,tp
2022-05-14 16:00,2022-05-14 16:00,short,28812.5,29244.69,-1.518,-1.012,1,0.167,sl
2022-05-16 04:00,2022-05-16 16:00,short,30314.9,29102.3,4.127,2.751,4,0.667,tp
2022-05-20 04:00,2022-05-20 16:00,short,30172.5,28965.6,4.127,2.751,4,0.667,tp
2022-05-21 00:00,2022-05-21 12:00,short,29188.9,29626.73,-1.518,-1.012,4,0.667,sl
2022-05-25 12:00,2022-05-25 12:00,short,29403.5,29844.55,-1.518,-1.012,1,0.167,sl
2022-05-25 20:00,2022-05-26 12:00,short,29584.0,28400.64,4.127,2.751,5,0.833,tp
2022-05-27 04:00,2022-05-29 12:00,short,29004.8,29439.87,-1.518,-1.012,15,2.5,sl
2022-06-09 04:00,2022-06-10 16:00,short,30283.0,29071.68,4.127,2.751,10,1.667,tp
2022-06-12 04:00,2022-06-12 12:00,short,27538.2,27951.27,-1.518,-1.012,3,0.5,sl
2022-06-21 04:00,2022-06-21 04:00,short,20604.4,20913.47,-1.518,-1.012,1,0.167,sl
2022-06-27 04:00,2022-06-27 08:00,short,21160.9,21478.31,-1.518,-1.012,2,0.333,sl
2022-06-29 12:00,2022-06-29 20:00,short,20096.9,20398.35,-1.518,-1.012,3,0.5,sl
2022-07-03 20:00,2022-07-04 08:00,short,19483.5,19775.75,-1.518,-1.012,4,0.667,sl
2022-07-10 04:00,2022-07-11 04:00,short,21288.6,20437.06,4.127,2.751,7,1.167,tp
2022-07-11 12:00,2022-07-11 12:00,short,20465.1,20772.08,-1.518,-1.012,1,0.167,sl
2022-07-11 20:00,2022-07-12 04:00,short,20499.9,19679.9,4.127,2.751,3,0.5,tp
2022-07-12 12:00,2022-07-13 12:00,short,19765.0,20061.47,-1.518,-1.012,7,1.167,sl
2022-07-25 04:00,2022-07-25 20:00,short,21858.1,22185.97,-1.518,-1.012,5,0.833,sl
2022-07-26 04:00,2022-07-27 12:00,short,21130.2,21447.15,-1.518,-1.012,9,1.5,sl
2022-07-31 04:00,2022-07-31 16:00,short,23732.5,24088.49,-1.518,-1.012,4,0.667,sl
2022-08-01 08:00,2022-08-04 16:00,short,23313.3,22380.77,4.127,2.751,21,3.5,tp
2022-08-17 20:00,2022-08-19 04:00,short,23268.5,22337.76,4.127,2.751,9,1.5,tp
2022-08-31 12:00,2022-09-04 08:00,short,20307.9,19843.0,2.303,1.535,24,4.0,time
2022-09-04 16:00,2022-09-06 00:00,short,19781.6,20078.32,-1.518,-1.012,9,1.5,sl
2022-09-13 04:00,2022-09-13 04:00,short,22225.7,22559.09,-1.518,-1.012,1,0.167,sl
2022-09-13 12:00,2022-09-13 12:00,short,22516.2,21615.55,4.127,2.751,1,0.167,tp
2022-09-18 08:00,2022-09-19 00:00,short,20041.3,19239.65,4.127,2.751,5,0.833,tp
2022-09-27 12:00,2022-09-27 16:00,short,20221.0,19412.16,4.127,2.751,2,0.333,tp
2022-10-07 04:00,2022-10-10 08:00,short,19976.1,19177.06,4.127,2.751,20,3.333,tp
2022-10-10 20:00,2022-10-13 12:00,short,19205.0,18436.8,4.127,2.751,17,2.833,tp
2022-10-20 04:00,2022-10-20 12:00,short,19033.2,19318.7,-1.518,-1.012,3,0.5,sl
2022-11-22 20:00,2022-11-23 00:00,short,16160.6,16403.01,-1.518,-1.012,2,0.333,sl
2022-12-03 20:00,2022-12-04 20:00,short,16945.4,17199.58,-1.518,-1.012,7,1.167,sl
2022-12-07 04:00,2022-12-08 16:00,short,17017.4,17272.66,-1.518,-1.012,10,1.667,sl
2022-12-16 04:00,2022-12-16 16:00,short,17418.8,16722.05,4.127,2.751,4,0.667,tp
2022-12-17 12:00,2022-12-20 12:00,short,16700.6,16951.11,-1.518,-1.012,19,3.167,sl
2022-12-28 12:00,2023-01-01 08:00,short,16672.0,16549.8,0.698,0.466,24,4.0,time
2023-03-03 04:00,2023-03-05 00:00,short,22306.4,22641.0,-1.518,-1.012,12,2.0,sl
2023-03-08 20:00,2023-03-09 16:00,short,21993.8,21114.05,4.127,2.751,6,1.0,tp
2023-03-10 00:00,2023-03-10 08:00,short,20348.4,19534.46,4.127,2.751,3,0.5,tp
2023-03-24 04:00,2023-03-24 20:00,short,28211.3,27082.85,4.127,2.751,5,0.833,tp
2023-04-17 04:00,2023-04-18 12:00,short,29966.5,30416.0,-1.518,-1.012,9,1.5,sl
2023-04-19 04:00,2023-04-19 08:00,short,30199.9,28991.9,4.127,2.751,2,0.333,tp
2023-04-20 08:00,2023-04-21 16:00,short,28857.7,27703.39,4.127,2.751,9,1.5,tp
2023-04-22 00:00,2023-04-22 16:00,short,27252.6,27661.39,-1.518,-1.012,5,0.833,sl
2023-05-16 04:00,2023-05-20 00:00,short,27118.7,26849.2,0.964,0.643,24,4.0,time
2023-05-21 12:00,2023-05-23 00:00,short,26818.0,27220.27,-1.518,-1.012,10,1.667,sl
2023-05-24 04:00,2023-05-28 00:00,short,26770.0,27171.55,-1.518,-1.012,24,4.0,sl
2023-05-31 20:00,2023-06-04 16:00,short,26999.5,27205.0,-0.795,-0.53,24,4.0,time
2023-06-05 04:00,2023-06-05 16:00,short,26835.8,25762.37,4.127,2.751,4,0.667,tp
2023-06-06 00:00,2023-06-06 12:00,short,25714.6,26100.32,-1.518,-1.012,4,0.667,sl
2023-06-07 04:00,2023-06-10 04:00,short,26896.9,25821.02,4.127,2.751,19,3.167,tp
2023-06-12 08:00,2023-06-13 08:00,short,25793.2,26180.1,-1.518,-1.012,7,1.167,sl
2023-07-06 04:00,2023-07-06 08:00,short,30477.6,30934.76,-1.518,-1.012,2,0.333,sl
2023-07-20 12:00,2023-07-24 08:00,short,30274.0,29063.04,4.127,2.751,24,4.0,tp
2023-07-24 20:00,2023-07-26 20:00,short,29106.8,29543.4,-1.518,-1.012,13,2.167,sl
2023-07-28 20:00,2023-08-01 16:00,short,29303.5,29263.6,0.096,0.064,24,4.0,time
2023-08-02 04:00,2023-08-06 00:00,short,29622.5,29053.5,1.918,1.279,24,4.0,time
2023-08-06 08:00,2023-08-08 12:00,short,29081.3,29517.52,-1.518,-1.012,14,2.333,sl
2023-08-16 04:00,2023-08-17 12:00,short,29216.7,28048.03,4.127,2.751,9,1.5,tp
2023-08-17 20:00,2023-08-17 20:00,short,27889.4,26773.82,4.127,2.751,1,0.167,tp
2023-10-10 04:00,2023-10-14 00:00,short,27621.5,26918.2,2.573,1.715,24,4.0,time
2023-11-14 16:00,2023-11-14 16:00,short,36168.8,34722.05,4.127,2.751,1,0.167,tp
2023-12-11 04:00,2023-12-11 16:00,short,42312.7,40620.19,4.127,2.751,4,0.667,tp
2023-12-30 04:00,2023-12-30 16:00,short,42014.7,42644.92,-1.518,-1.012,4,0.667,sl
