entry_date,exit_date,side,entry,exit,pnl_pct,r_multiple,hold_bars,hold_days,reason
2022-02-11 09:00,2022-02-11 09:00,short,3068.58,3086.99,-0.636,-1.061,1,0.042,sl
2022-02-11 11:00,2022-02-11 13:00,short,3104.85,3123.48,-0.636,-1.061,3,0.125,sl
2022-02-11 15:00,2022-02-11 15:00,short,3091.7,3110.25,-0.636,-1.061,1,0.042,sl
2022-02-12 01:00,2022-02-12 01:00,short,2929.59,2947.17,-0.636,-1.061,1,0.042,sl
2022-02-12 03:00,2022-02-12 06:00,short,2954.45,2910.13,1.483,2.471,4,0.167,tp
2022-02-12 08:00,2022-02-12 08:00,short,2918.49,2936.0,-0.636,-1.061,1,0.042,sl
2022-02-12 10:00,2022-02-12 10:00,short,2936.52,2892.47,1.483,2.471,1,0.042,tp
2022-02-12 12:00,2022-02-12 14:00,short,2930.27,2886.32,1.483,2.471,3,0.125,tp
2022-02-12 16:00,2022-02-12 16:00,short,2880.42,2897.7,-0.636,-1.061,1,0.042,sl
2022-02-12 18:00,2022-02-12 18:00,short,2939.29,2956.93,-0.636,-1.061,1,0.042,sl
2022-02-12 20:00,2022-02-12 20:00,short,2951.5,2969.21,-0.636,-1.061,1,0.042,sl
2022-02-12 22:00,2022-02-12 22:00,short,2873.83,2891.07,-0.636,-1.061,1,0.042,sl
2022-02-13 00:00,2022-02-13 00:00,short,2917.04,2934.54,-0.636,-1.061,1,0.042,sl
2022-02-13 09:00,2022-02-13 12:00,short,2927.16,2944.72,-0.636,-1.061,4,0.167,sl
2022-02-13 14:00,2022-02-13 16:00,short,2939.54,2895.45,1.483,2.471,3,0.125,tp
2022-02-17 01:00,2022-02-17 03:00,short,3148.8,3101.57,1.483,2.471,3,0.125,tp
2022-02-17 05:00,2022-02-17 06:00,short,3063.24,3081.62,-0.636,-1.061,2,0.083,sl
2022-02-17 08:00,2022-02-17 08:00,short,3107.6,3126.25,-0.636,-1.061,1,0.042,sl
2022-02-19 01:00,2022-02-19 01:00,short,2809.15,2826.0,-0.636,-1.061,1,0.042,sl
2022-02-19 03:00,2022-02-19 09:00,short,2815.74,2773.5,1.483,2.471,7,0.292,tp
2022-02-19 11:00,2022-02-19 11:00,short,2777.47,2735.81,1.483,2.471,1,0.042,tp
2022-02-19 13:00,2022-02-19 13:00,short,2711.35,2727.62,-0.636,-1.061,1,0.042,sl
2022-02-19 15:00,2022-02-19 15:00,short,2727.09,2743.45,-0.636,-1.061,1,0.042,sl
2022-02-21 01:00,2022-02-21 01:00,short,2666.69,2682.69,-0.636,-1.061,1,0.042,sl
2022-02-21 03:00,2022-02-21 03:00,short,2720.31,2736.63,-0.636,-1.061,1,0.042,sl
2022-02-21 05:00,2022-02-21 10:00,short,2742.27,2701.14,1.483,2.471,6,0.25,tp
2022-02-21 17:00,2022-02-21 17:00,short,2709.98,2726.24,-0.636,-1.061,1,0.042,sl
2022-02-21 19:00,2022-02-21 19:00,short,2637.08,2652.9,-0.636,-1.061,1,0.042,sl
2022-02-21 21:00,2022-02-21 21:00,short,2651.0,2666.91,-0.636,-1.061,1,0.042,sl
2022-02-21 23:00,2022-02-21 23:00,short,2617.69,2578.42,1.483,2.471,1,0.042,tp
2022-02-22 17:00,2022-02-22 19:00,short,2600.66,2616.26,-0.636,-1.061,3,0.125,sl
2022-02-22 21:00,2022-02-22 21:00,short,2600.44,2616.04,-0.636,-1.061,1,0.042,sl
2022-02-22 23:00,2022-02-22 23:00,short,2603.45,2619.07,-0.636,-1.061,1,0.042,sl
2022-02-23 01:00,2022-02-23 02:00,short,2624.93,2640.68,-0.636,-1.061,2,0.083,sl
2022-02-23 04:00,2022-02-23 04:00,short,2623.45,2639.19,-0.636,-1.061,1,0.042,sl
2022-02-23 06:00,2022-02-23 06:00,short,2656.32,2672.26,-0.636,-1.061,1,0.042,sl
2022-02-23 08:00,2022-02-23 08:00,short,2694.09,2710.25,-0.636,-1.061,1,0.042,sl
2022-02-27 01:00,2022-02-27 01:00,short,2746.51,2705.31,1.483,2.471,1,0.042,tp
2022-02-27 03:00,2022-02-27 03:00,short,2707.28,2723.52,-0.636,-1.061,1,0.042,sl
2022-02-27 05:00,2022-02-27 05:00,short,2704.69,2720.92,-0.636,-1.061,1,0.042,sl
2022-02-27 07:00,2022-02-27 09:00,short,2730.95,2747.34,-0.636,-1.061,3,0.125,sl
2022-02-27 17:00,2022-02-27 18:00,short,2776.61,2734.96,1.483,2.471,2,0.083,tp
2022-02-27 20:00,2022-02-27 20:00,short,2605.85,2621.49,-0.636,-1.061,1,0.042,sl
2022-02-27 22:00,2022-02-27 22:00,short,2600.74,2616.34,-0.636,-1.061,1,0.042,sl
2022-02-28 00:00,2022-02-28 01:00,short,2615.99,2631.69,-0.636,-1.061,2,0.083,sl
2022-03-04 01:00,2022-03-04 01:00,short,2733.35,2692.35,1.483,2.471,1,0.042,tp
2022-03-04 03:00,2022-03-04 08:00,short,2725.03,2741.38,-0.636,-1.061,6,0.25,sl
2022-03-04 10:00,2022-03-04 10:00,short,2728.63,2745.0,-0.636,-1.061,1,0.042,sl
2022-03-04 12:00,2022-03-04 14:00,short,2742.48,2701.34,1.483,2.471,3,0.125,tp
2022-03-04 16:00,2022-03-04 17:00,short,2670.89,2686.92,-0.636,-1.061,2,0.083,sl
2022-03-04 19:00,2022-03-04 19:00,short,2670.36,2630.3,1.483,2.471,1,0.042,tp
2022-03-04 21:00,2022-03-04 22:00,short,2613.64,2574.44,1.483,2.471,2,0.083,tp
2022-03-05 00:00,2022-03-05 07:00,short,2620.25,2635.97,-0.636,-1.061,8,0.333,sl
2022-03-07 17:00,2022-03-07 18:00,short,2592.98,2554.09,1.483,2.471,2,0.083,tp
2022-03-07 20:00,2022-03-07 20:00,short,2458.68,2473.43,-0.636,-1.061,1,0.042,sl
2022-03-07 22:00,2022-03-07 22:00,short,2482.46,2497.35,-0.636,-1.061,1,0.042,sl
2022-03-08 00:00,2022-03-08 00:00,short,2489.84,2504.78,-0.636,-1.061,1,0.042,sl
2022-03-08 09:00,2022-03-08 09:00,short,2569.01,2584.42,-0.636,-1.061,1,0.042,sl
2022-03-08 11:00,2022-03-08 13:00,short,2596.79,2557.84,1.483,2.471,3,0.125,tp
2022-03-08 15:00,2022-03-08 15:00,short,2572.77,2534.18,1.483,2.471,1,0.042,tp
2022-03-08 17:00,2022-03-08 17:00,short,2539.83,2555.07,-0.636,-1.061,1,0.042,sl
2022-03-08 19:00,2022-03-08 20:00,short,2568.96,2584.37,-0.636,-1.061,2,0.083,sl
2022-03-08 22:00,2022-03-08 22:00,short,2557.32,2572.66,-0.636,-1.061,1,0.042,sl
2022-03-09 00:00,2022-03-09 01:00,short,2575.5,2590.95,-0.636,-1.061,2,0.083,sl
2022-03-12 03:00,2022-03-12 03:00,short,2579.4,2594.88,-0.636,-1.061,1,0.042,sl
2022-03-12 05:00,2022-03-12 06:00,short,2583.18,2598.68,-0.636,-1.061,2,0.083,sl
2022-03-13 11:00,2022-03-13 12:00,short,2587.37,2548.56,1.483,2.471,2,0.083,tp
2022-03-13 14:00,2022-03-13 15:00,short,2558.94,2574.29,-0.636,-1.061,2,0.083,sl
2022-03-31 01:00,2022-03-31 01:00,short,3398.67,3419.06,-0.636,-1.061,1,0.042,sl
2022-03-31 03:00,2022-03-31 10:00,short,3404.07,3424.49,-0.636,-1.061,8,0.333,sl
2022-03-31 12:00,2022-03-31 12:00,short,3408.5,3428.95,-0.636,-1.061,1,0.042,sl
2022-03-31 14:00,2022-03-31 16:00,short,3378.57,3327.89,1.483,2.471,3,0.125,tp
2022-03-31 18:00,2022-04-01 01:00,short,3295.0,3245.57,1.483,2.471,8,0.333,tp
2022-04-08 17:00,2022-04-08 18:00,short,3265.25,3216.27,1.483,2.471,2,0.083,tp
2022-04-08 20:00,2022-04-08 22:00,short,3238.18,3189.61,1.483,2.471,3,0.125,tp
2022-04-09 00:00,2022-04-09 00:00,short,3191.27,3210.42,-0.636,-1.061,1,0.042,sl
