entry_date,exit_date,side,entry,exit,pnl_pct,r_multiple,hold_bars,hold_days,reason
2022-03-05,2022-03-09,short,39127.7,40301.53,-2.953,-0.984,5,5.0,sl
2022-03-28,2022-03-31,long,46820.9,45416.27,-3.04,-1.013,4,4.0,sl
2022-05-03,2022-05-04,short,38525.5,39681.26,-2.953,-0.984,2,2.0,sl
2022-05-06,2022-05-09,short,36533.7,33611.0,8.656,2.885,4,4.0,tp
2022-05-15,2022-05-15,short,30079.5,30981.89,-2.953,-0.984,1,1.0,sl
2022-05-17,2022-05-17,short,29866.4,30762.39,-2.953,-0.984,1,1.0,sl
2022-06-30,2022-07-01,short,20109.9,20713.2,-2.953,-0.984,2,2.0,sl
2022-07-11,2022-07-13,short,20853.8,19185.5,8.656,2.885,3,3.0,tp
2022-08-15,2022-08-17,long,24294.1,23565.28,-3.04,-1.013,3,3.0,sl
2022-09-19,2022-09-21,short,19404.5,19986.64,-2.953,-0.984,3,3.0,sl
2022-09-28,2022-09-28,short,19070.1,19642.2,-2.953,-0.984,1,1.0,sl
2022-10-08,2022-10-13,short,19520.9,17959.23,8.656,2.885,6,6.0,tp
2022-12-04,2022-12-05,short,16879.5,17385.89,-2.953,-0.984,2,2.0,sl
2022-12-29,2023-01-07,short,16538.9,16936.5,-2.388,-0.796,10,10.0,time
2023-02-16,2023-02-16,long,24332.7,23602.72,-3.04,-1.013,1,1.0,sl
2023-03-22,2023-03-22,long,28091.1,27248.37,-3.04,-1.013,1,1.0,sl
2023-05-22,2023-05-28,short,26732.8,27534.78,-2.953,-0.984,7,7.0,sl
2023-07-14,2023-07-14,long,31441.6,30498.35,-3.04,-1.013,1,1.0,sl
2023-08-18,2023-08-27,short,26609.7,26087.7,1.961,0.654,10,10.0,time
2023-10-07,2023-10-11,long,27916.3,27078.81,-3.04,-1.013,5,5.0,sl
2023-10-21,2023-10-23,long,29653.0,32025.24,7.96,2.653,3,3.0,tp
2023-12-03,2023-12-05,long,39435.1,42589.91,7.96,2.653,3,3.0,tp
2024-01-10,2024-01-10,long,46113.9,44730.48,-3.04,-1.013,1,1.0,sl
2024-01-28,2024-02-06,long,42102.2,43079.1,2.28,0.76,10,10.0,time
2024-02-08,2024-02-09,long,44326.3,47872.4,7.96,2.653,2,2.0,tp
2024-03-27,2024-04-02,long,70044.2,67942.87,-3.04,-1.013,7,7.0,sl
2024-07-04,2024-07-05,short,60208.0,55391.36,8.656,2.885,2,2.0,tp
2024-08-28,2024-09-06,short,59384.4,54633.65,8.656,2.885,10,10.0,tp
2024-10-14,2024-10-15,long,62839.7,67866.88,7.96,2.653,2,2.0,tp
2024-12-17,2024-12-18,long,106023.2,102842.5,-3.04,-1.013,2,2.0,sl
2025-02-27,2025-02-27,short,84208.6,86734.86,-2.953,-0.984,1,1.0,sl
2025-03-30,2025-04-01,short,82604.8,85082.94,-2.953,-0.984,3,3.0,sl
2025-04-08,2025-04-09,short,79140.1,81514.3,-2.953,-0.984,2,2.0,sl
2025-04-25,2025-05-04,long,93931.5,94230.2,0.278,0.093,10,10.0,time
2025-08-31,2025-09-03,short,108758.0,112020.74,-2.953,-0.984,4,4.0,sl
2025-09-06,2025-09-10,short,110614.8,113933.24,-2.953,-0.984,5,5.0,sl
2025-11-01,2025-11-04,short,109557.2,100792.62,8.656,2.885,4,4.0,tp
2025-11-06,2025-11-11,short,103837.0,106952.11,-2.953,-0.984,6,6.0,sl
2025-11-14,2025-11-17,short,99654.3,91681.96,8.656,2.885,4,4.0,tp
2025-11-19,2025-11-21,short,92916.8,85483.46,8.656,2.885,3,3.0,tp
2025-12-17,2025-12-22,short,87826.3,90461.09,-2.953,-0.984,6,6.0,sl
2026-01-22,2026-01-30,short,89411.4,82258.49,8.656,2.885,9,9.0,tp
2026-02-01,2026-02-04,short,78706.7,72410.16,8.656,2.885,4,4.0,tp
2026-03-31,2026-04-01,short,66764.4,68767.33,-2.953,-0.984,2,2.0,sl
2026-04-16,2026-04-25,long,74776.3,77585.0,3.716,1.239,10,10.0,time
2026-05-06,2026-05-15,long,80861.9,79074.0,-2.251,-0.75,10,10.0,time
2026-06-03,2026-06-04,short,66730.1,61391.69,8.656,2.885,2,2.0,tp
2026-06-21,2026-06-24,short,64270.1,59128.49,8.656,2.885,4,4.0,tp
2026-06-27,2026-07-02,short,60071.9,61874.06,-2.953,-0.984,6,6.0,sl
2026-08-16,2026-08-18,short,63053.9,64945.52,-2.953,-0.984,3,3.0,sl
