entry_date,exit_date,side,entry,exit,pnl_pct,r_multiple,hold_bars,hold_days,reason
2022-02-15 12:00,2022-02-16 12:00,long,44214.3,43551.09,-1.54,-1.027,7,1.167,sl
2022-02-20 00:00,2022-02-20 08:00,short,40052.6,38450.5,4.127,2.751,3,0.5,tp
2022-03-01 00:00,2022-03-01 12:00,long,43155.0,44881.2,3.96,2.64,4,0.667,tp
2022-03-05 16:00,2022-03-07 00:00,short,39133.8,37568.45,4.127,2.751,9,1.5,tp
2022-03-08 16:00,2022-03-08 16:00,short,38649.8,39229.55,-1.518,-1.012,1,0.167,sl
2022-03-24 20:00,2022-03-27 20:00,long,43891.0,45646.64,3.96,2.64,19,3.167,tp
2022-04-06 16:00,2022-04-08 16:00,short,44159.4,42393.02,4.127,2.751,13,2.167,tp
2022-04-11 16:00,2022-04-13 12:00,short,40575.6,41184.23,-1.518,-1.012,12,2.0,sl
2022-04-26 20:00,2022-04-27 04:00,short,38250.6,38824.36,-1.518,-1.012,3,0.5,sl
2022-04-29 16:00,2022-05-01 00:00,short,38988.0,37428.48,4.127,2.751,9,1.5,tp
2022-05-01 20:00,2022-05-01 20:00,short,37789.9,38356.75,-1.518,-1.012,1,0.167,sl
2022-05-02 04:00,2022-05-04 16:00,short,38653.6,39233.4,-1.518,-1.012,16,2.667,sl
2022-05-05 16:00,2022-05-05 16:00,short,36886.5,35411.04,4.127,2.751,1,0.167,tp
2022-05-08 20:00,2022-05-09 08:00,short,34585.5,33202.08,4.127,2.751,4,0.667,tp
2022-05-09 16:00,2022-05-09 16:00,short,32340.0,31046.4,4.127,2.751,1,0.167,tp
2022-05-14 04:00,2022-05-14 20:00,short,29563.4,30006.85,-1.518,-1.012,5,0.833,sl
2022-05-16 04:00,2022-05-16 16:00,short,30314.9,29102.3,4.127,2.751,4,0.667,tp
2022-06-12 04:00,2022-06-12 12:00,short,27538.2,27951.27,-1.518,-1.012,3,0.5,sl
2022-06-18 04:00,2022-06-18 04:00,short,20449.9,19631.9,4.127,2.751,1,0.167,tp
2022-06-19 20:00,2022-06-19 20:00,short,20111.1,20412.77,-1.518,-1.012,1,0.167,sl
2022-06-21 04:00,2022-06-21 04:00,short,20604.4,20913.47,-1.518,-1.012,1,0.167,sl
2022-06-29 12:00,2022-06-29 20:00,short,20096.9,20398.35,-1.518,-1.012,3,0.5,sl
2022-07-12 08:00,2022-07-13 12:00,short,19722.9,20018.74,-1.518,-1.012,8,1.333,sl
2022-07-16 20:00,2022-07-17 16:00,long,21184.3,20866.54,-1.54,-1.027,6,1.0,sl
2022-07-26 20:00,2022-07-26 20:00,short,20907.8,21221.42,-1.518,-1.012,1,0.167,sl
2022-08-06 00:00,2022-08-06 20:00,long,23298.0,22948.53,-1.54,-1.027,6,1.0,sl
2022-08-08 12:00,2022-08-08 16:00,long,24159.9,23797.5,-1.54,-1.027,2,0.333,sl
2022-08-10 16:00,2022-08-10 16:00,long,23983.6,23623.85,-1.54,-1.027,1,0.167,sl
2022-08-13 20:00,2022-08-15 04:00,long,24389.2,24023.36,-1.54,-1.027,9,1.5,sl
2022-08-15 16:00,2022-08-15 20:00,long,24211.8,23848.62,-1.54,-1.027,2,0.333,sl
2022-08-17 20:00,2022-08-19 04:00,short,23268.5,22337.76,4.127,2.751,9,1.5,tp
2022-09-02 00:00,2022-09-02 12:00,short,20122.6,20424.44,-1.518,-1.012,4,0.667,sl
2022-09-02 20:00,2022-09-06 16:00,short,19899.3,19103.33,4.127,2.751,24,4.0,tp
2022-09-07 00:00,2022-09-07 16:00,short,18781.4,19063.12,-1.518,-1.012,5,0.833,sl
2022-09-17 12:00,2022-09-17 16:00,short,19800.8,20097.81,-1.518,-1.012,2,0.333,sl
2022-09-18 04:00,2022-09-19 00:00,short,19991.0,19191.36,4.127,2.751,6,1.0,tp
2022-09-23 00:00,2022-09-23 12:00,short,19392.5,18616.8,4.127,2.751,4,0.667,tp
2022-09-25 00:00,2022-09-25 08:00,short,18910.9,19194.56,-1.518,-1.012,3,0.5,sl
2022-09-26 20:00,2022-09-27 00:00,short,19190.9,19478.76,-1.518,-1.012,2,0.333,sl
2022-10-10 20:00,2022-10-13 12:00,short,19205.0,18436.8,4.127,2.751,17,2.833,tp
2022-10-20 04:00,2022-10-20 12:00,short,19033.2,19318.7,-1.518,-1.012,3,0.5,sl
2022-10-25 20:00,2022-10-28 12:00,long,20266.7,19962.7,-1.54,-1.027,17,2.833,sl
2022-11-04 12:00,2022-11-05 00:00,long,20547.1,21368.98,3.96,2.64,4,0.667,tp
2022-11-19 04:00,2022-11-21 00:00,short,16622.3,15957.41,4.127,2.751,12,2.0,tp
2022-12-20 00:00,2022-12-20 00:00,short,16429.2,16675.64,-1.518,-1.012,1,0.167,sl
2022-12-28 12:00,2023-01-01 08:00,short,16672.0,16549.8,0.698,0.466,24,4.0,time
2023-01-11 00:00,2023-01-12 00:00,long,17428.8,18125.95,3.96,2.64,7,1.167,tp
2023-03-03 04:00,2023-03-05 00:00,short,22306.4,22641.0,-1.518,-1.012,12,2.0,sl
2023-03-08 20:00,2023-03-09 16:00,short,21993.8,21114.05,4.127,2.751,6,1.0,tp
2023-03-10 00:00,2023-03-10 08:00,short,20348.4,19534.46,4.127,2.751,3,0.5,tp
2023-03-17 08:00,2023-03-17 20:00,long,26046.9,27088.78,3.96,2.64,4,0.667,tp
2023-03-21 12:00,2023-03-22 16:00,long,28026.1,27605.71,-1.54,-1.027,8,1.333,sl
2023-03-23 08:00,2023-03-23 12:00,long,27616.3,28720.95,3.96,2.64,2,0.333,tp
2023-04-12 20:00,2023-04-14 04:00,long,29789.5,30981.08,3.96,2.64,9,1.5,tp
2023-04-18 12:00,2023-04-19 08:00,long,30369.7,29914.15,-1.54,-1.027,6,1.0,sl
2023-05-16 04:00,2023-05-20 00:00,short,27118.7,26849.2,0.964,0.643,24,4.0,time
2023-05-21 12:00,2023-05-23 00:00,short,26818.0,27220.27,-1.518,-1.012,10,1.667,sl
2023-05-24 04:00,2023-05-28 00:00,short,26770.0,27171.55,-1.518,-1.012,24,4.0,sl
2023-06-05 12:00,2023-06-05 16:00,short,26760.2,25689.79,4.127,2.751,2,0.333,tp
2023-06-10 08:00,2023-06-10 16:00,short,25637.3,26021.86,-1.518,-1.012,3,0.5,sl
2023-06-20 08:00,2023-06-20 16:00,long,26820.5,27893.32,3.96,2.64,3,0.5,tp
2023-06-21 00:00,2023-06-21 12:00,long,28290.7,29422.33,3.96,2.64,4,0.667,tp
2023-06-28 20:00,2023-06-30 04:00,long,30080.5,31283.72,3.96,2.64,9,1.5,tp
2023-07-14 00:00,2023-07-14 16:00,long,31441.6,30969.98,-1.54,-1.027,5,0.833,sl
2023-07-24 20:00,2023-07-26 20:00,short,29106.8,29543.4,-1.518,-1.012,13,2.167,sl
2023-07-28 20:00,2023-08-01 16:00,short,29303.5,29263.6,0.096,0.064,24,4.0,time
2023-08-03 00:00,2023-08-06 20:00,short,29170.2,29075.9,0.284,0.19,24,4.0,time
2023-08-07 16:00,2023-08-08 04:00,short,28853.2,29286.0,-1.518,-1.012,4,0.667,sl
2023-08-16 04:00,2023-08-17 12:00,short,29216.7,28048.03,4.127,2.751,9,1.5,tp
2023-08-17 20:00,2023-08-17 20:00,short,27889.4,26773.82,4.127,2.751,1,0.167,tp
2023-08-30 00:00,2023-08-30 00:00,long,27700.1,27284.6,-1.54,-1.027,1,0.167,sl
2023-09-14 20:00,2023-09-15 12:00,long,26662.0,26262.07,-1.54,-1.027,5,0.833,sl
2023-09-19 12:00,2023-09-20 16:00,long,27224.4,26816.03,-1.54,-1.027,8,1.333,sl
2023-09-21 00:00,2023-09-21 08:00,long,27107.7,26701.08,-1.54,-1.027,3,0.5,sl
2023-09-29 00:00,2023-10-01 20:00,long,27011.7,28092.17,3.96,2.64,18,3.0,tp
2023-10-02 20:00,2023-10-02 20:00,long,27955.3,27535.97,-1.54,-1.027,1,0.167,sl
2023-10-04 20:00,2023-10-06 12:00,long,27606.3,27192.21,-1.54,-1.027,11,1.833,sl
2023-10-11 08:00,2023-10-15 04:00,short,27012.7,26872.7,0.481,0.321,24,4.0,time
2023-10-19 20:00,2023-10-20 08:00,long,28734.6,29883.98,3.96,2.64,4,0.667,tp
2023-12-02 16:00,2023-12-03 20:00,long,38786.9,40338.38,3.96,2.64,8,1.333,tp
2024-01-08 08:00,2024-01-08 16:00,long,43969.9,45728.7,3.96,2.64,3,0.5,tp
2024-01-09 00:00,2024-01-09 00:00,long,46972.6,46268.01,-1.54,-1.027,1,0.167,sl
2024-01-09 08:00,2024-01-09 12:00,long,46841.0,46138.39,-1.54,-1.027,2,0.333,sl
2024-01-09 20:00,2024-01-09 20:00,long,46873.5,46170.4,-1.54,-1.027,1,0.167,sl
2024-01-10 20:00,2024-01-10 20:00,long,46498.8,45801.32,-1.54,-1.027,1,0.167,sl
2024-02-07 04:00,2024-02-08 00:00,long,42783.1,44494.42,3.96,2.64,6,1.0,tp
2024-02-08 12:00,2024-02-09 08:00,long,44677.9,46465.02,3.96,2.64,6,1.0,tp
2024-03-26 04:00,2024-03-26 12:00,long,70473.7,69416.59,-1.54,-1.027,3,0.5,sl
2024-04-08 04:00,2024-04-08 08:00,long,69485.0,72264.4,3.96,2.64,2,0.333,tp
2024-04-08 16:00,2024-04-09 04:00,long,71815.7,70738.46,-1.54,-1.027,4,0.667,sl
2024-05-10 20:00,2024-05-12 12:00,short,60682.4,61592.64,-1.518,-1.012,11,1.833,sl
2024-05-12 20:00,2024-05-13 04:00,short,61393.4,62314.3,-1.518,-1.012,3,0.5,sl
2024-05-17 12:00,2024-05-20 16:00,long,66182.6,68829.9,3.96,2.64,20,3.333,tp
2024-06-13 16:00,2024-06-17 12:00,short,66464.3,65341.9,1.678,1.118,24,4.0,time
2024-07-08 20:00,2024-07-09 00:00,short,56462.9,57309.84,-1.518,-1.012,2,0.333,sl
2024-07-09 20:00,2024-07-10 04:00,short,57837.7,58705.27,-1.518,-1.012,3,0.5,sl
2024-07-11 16:00,2024-07-12 12:00,short,57382.8,58243.54,-1.518,-1.012,6,1.0,sl
2024-07-14 12:00,2024-07-15 00:00,long,60079.0,62482.16,3.96,2.64,4,0.667,tp
2024-07-15 08:00,2024-07-16 20:00,long,62816.1,65328.74,3.96,2.64,10,1.667,tp
2024-07-19 12:00,2024-07-19 16:00,long,64095.6,66659.42,3.96,2.64,2,0.333,tp
2024-07-20 00:00,2024-07-23 16:00,long,66627.9,65628.48,-1.54,-1.027,23,3.833,sl
2024-07-26 20:00,2024-07-27 20:00,long,67957.2,66937.84,-1.54,-1.027,7,1.167,sl
