entry_date,exit_date,side,entry,exit,pnl_pct,r_multiple,hold_bars,hold_days,reason
2022-03-05,2022-03-09,short,2620.25,2698.86,-2.953,-0.984,5,5.0,sl
2022-05-15,2022-05-15,short,2054.99,2116.64,-2.953,-0.984,1,1.0,sl
2022-05-17,2022-05-17,short,2022.79,2083.47,-2.953,-0.984,1,1.0,sl
2022-06-21,2022-06-21,short,1127.82,1161.65,-2.953,-0.984,1,1.0,sl
2022-07-11,2022-07-12,short,1167.81,1074.39,8.656,2.885,2,2.0,tp
2022-08-11,2022-08-13,long,1853.25,2001.51,7.96,2.653,3,3.0,tp
2022-08-15,2022-08-15,long,1934.56,1876.52,-3.04,-1.013,1,1.0,sl
2022-08-24,2022-08-24,long,1664.19,1614.26,-3.04,-1.013,1,1.0,sl
2022-09-17,2022-09-19,short,1433.58,1318.89,8.656,2.885,3,3.0,tp
2022-09-22,2022-09-22,short,1244.2,1281.53,-2.953,-0.984,1,1.0,sl
2022-09-27,2022-09-27,short,1335.25,1375.31,-2.953,-0.984,1,1.0,sl
2022-10-11,2022-10-13,short,1289.57,1186.4,8.656,2.885,3,3.0,tp
2022-12-17,2022-12-20,short,1166.19,1201.18,-2.953,-0.984,4,4.0,sl
2022-12-30,2023-01-04,short,1200.36,1236.37,-2.953,-0.984,6,6.0,sl
2023-02-16,2023-02-22,long,1674.99,1624.74,-3.04,-1.013,7,7.0,sl
2023-03-13,2023-03-14,long,1579.26,1705.6,7.96,2.653,2,2.0,tp
2023-05-23,2023-05-23,short,1816.68,1871.18,-2.953,-0.984,1,1.0,sl
2023-06-13,2023-06-20,short,1741.6,1793.85,-2.953,-0.984,8,8.0,sl
2023-08-06,2023-08-15,short,1835.5,1828.28,0.355,0.118,10,10.0,time
2023-08-17,2023-08-17,short,1807.19,1662.61,8.656,2.885,1,1.0,tp
2023-10-13,2023-10-16,short,1538.82,1584.98,-2.953,-0.984,4,4.0,sl
2024-01-11,2024-01-12,long,2585.81,2508.24,-3.04,-1.013,2,2.0,sl
2024-02-08,2024-02-12,long,2424.21,2618.15,7.96,2.653,5,5.0,tp
2024-03-26,2024-03-27,long,3592.94,3485.15,-3.04,-1.013,2,2.0,sl
2024-04-09,2024-04-09,long,3697.59,3586.66,-3.04,-1.013,1,1.0,sl
2024-05-09,2024-05-17,short,2972.94,3062.13,-2.953,-0.984,9,9.0,sl
2024-08-01,2024-08-02,short,3231.49,2972.97,8.656,2.885,2,2.0,tp
2024-09-05,2024-09-06,short,2449.67,2253.7,8.656,2.885,2,2.0,tp
2024-10-02,2024-10-11,short,2446.85,2438.46,0.304,0.101,10,10.0,time
2024-11-02,2024-11-06,short,2511.57,2586.92,-2.953,-0.984,5,5.0,sl
2024-11-30,2024-12-04,long,3594.51,3882.07,7.96,2.653,5,5.0,tp
2024-12-16,2024-12-18,long,3958.5,3839.74,-3.04,-1.013,3,3.0,sl
2025-03-06,2025-03-06,short,2240.44,2307.65,-2.953,-0.984,1,1.0,sl
2025-03-09,2025-03-09,short,2202.83,2026.6,8.656,2.885,1,1.0,tp
2025-04-11,2025-04-11,short,1521.56,1567.21,-2.953,-0.984,1,1.0,sl
2025-10-21,2025-10-21,short,3977.54,4096.87,-2.953,-0.984,1,1.0,sl
2025-11-05,2025-11-05,short,3285.28,3383.84,-2.953,-0.984,1,1.0,sl
2025-11-17,2025-11-17,short,3094.04,3186.86,-2.953,-0.984,1,1.0,sl
2025-11-19,2025-11-20,short,3122.2,2872.42,8.656,2.885,2,2.0,tp
2026-01-28,2026-01-29,short,3024.92,2782.93,8.656,2.885,2,2.0,tp
2026-04-17,2026-04-19,long,2346.93,2276.52,-3.04,-1.013,3,3.0,sl
2026-05-07,2026-05-07,long,2349.69,2279.2,-3.04,-1.013,1,1.0,sl
2026-05-19,2026-05-28,short,2128.99,2008.92,5.937,1.979,10,10.0,time
2026-05-30,2026-06-02,short,2013.36,1852.29,8.656,2.885,4,4.0,tp
