entry_date,exit_date,side,entry,exit,pnl_pct,r_multiple,hold_bars,hold_days,reason
2022-02-15 17:00,2022-02-15 17:00,long,3113.16,3094.48,-0.64,-1.067,1,0.042,sl
2022-02-15 19:00,2022-02-15 21:00,long,3117.07,3098.37,-0.64,-1.067,3,0.125,sl
2022-02-15 23:00,2022-02-15 23:00,long,3124.96,3171.83,1.46,2.433,1,0.042,tp
2022-02-21 18:00,2022-02-21 18:00,short,2694.82,2654.4,1.483,2.471,1,0.042,tp
2022-02-21 20:00,2022-02-21 21:00,short,2651.46,2667.37,-0.636,-1.061,2,0.083,sl
2022-02-22 18:00,2022-02-22 18:00,short,2593.14,2608.7,-0.636,-1.061,1,0.042,sl
2022-02-22 21:00,2022-02-22 21:00,short,2600.44,2616.04,-0.636,-1.061,1,0.042,sl
2022-02-22 23:00,2022-02-22 23:00,short,2603.45,2619.07,-0.636,-1.061,1,0.042,sl
2022-02-23 01:00,2022-02-23 02:00,short,2624.93,2640.68,-0.636,-1.061,2,0.083,sl
2022-02-23 04:00,2022-02-23 04:00,short,2623.45,2639.19,-0.636,-1.061,1,0.042,sl
2022-03-04 01:00,2022-03-04 01:00,short,2733.35,2692.35,1.483,2.471,1,0.042,tp
2022-03-04 03:00,2022-03-04 08:00,short,2725.03,2741.38,-0.636,-1.061,6,0.25,sl
2022-03-04 10:00,2022-03-04 10:00,short,2728.63,2745.0,-0.636,-1.061,1,0.042,sl
2022-03-04 12:00,2022-03-04 14:00,short,2742.48,2701.34,1.483,2.471,3,0.125,tp
2022-03-04 16:00,2022-03-04 17:00,short,2670.89,2686.92,-0.636,-1.061,2,0.083,sl
2022-03-04 19:00,2022-03-04 19:00,short,2670.36,2630.3,1.483,2.471,1,0.042,tp
2022-03-04 21:00,2022-03-04 22:00,short,2613.64,2574.44,1.483,2.471,2,0.083,tp
2022-03-05 00:00,2022-03-05 07:00,short,2620.25,2635.97,-0.636,-1.061,8,0.333,sl
2022-03-06 17:00,2022-03-06 19:00,short,2644.65,2604.98,1.483,2.471,3,0.125,tp
2022-03-06 21:00,2022-03-06 21:00,short,2616.57,2632.27,-0.636,-1.061,1,0.042,sl
2022-03-06 23:00,2022-03-06 23:00,short,2628.25,2588.83,1.483,2.471,1,0.042,tp
2022-03-07 19:00,2022-03-07 19:00,short,2521.45,2483.63,1.483,2.471,1,0.042,tp
2022-03-07 23:00,2022-03-07 23:00,short,2503.17,2518.19,-0.636,-1.061,1,0.042,sl
2022-03-13 13:00,2022-03-13 13:00,short,2538.38,2553.61,-0.636,-1.061,1,0.042,sl
2022-03-13 15:00,2022-03-13 15:00,short,2564.77,2580.16,-0.636,-1.061,1,0.042,sl
2022-04-06 01:00,2022-04-06 01:00,short,3321.15,3341.08,-0.636,-1.061,1,0.042,sl
2022-04-06 03:00,2022-04-06 05:00,short,3340.79,3360.83,-0.636,-1.061,3,0.125,sl
2022-04-06 07:00,2022-04-06 10:00,short,3365.96,3315.47,1.483,2.471,4,0.167,tp
2022-04-07 03:00,2022-04-07 04:00,short,3183.01,3202.11,-0.636,-1.061,2,0.083,sl
2022-04-11 10:00,2022-04-11 11:00,short,3078.9,3032.72,1.483,2.471,2,0.083,tp
2022-04-11 14:00,2022-04-11 15:00,short,3047.04,3001.33,1.483,2.471,2,0.083,tp
2022-04-11 17:00,2022-04-11 18:00,short,3018.14,3036.25,-0.636,-1.061,2,0.083,sl
2022-04-11 20:00,2022-04-11 21:00,short,3002.9,2957.86,1.483,2.471,2,0.083,tp
2022-04-11 23:00,2022-04-12 02:00,short,2998.59,2953.61,1.483,2.471,4,0.167,tp
2022-04-29 12:00,2022-04-29 12:00,short,2841.82,2858.87,-0.636,-1.061,1,0.042,sl
