open_time,open_time_ms,symbol,timeframe,side,entry,stop_loss,take_profit,exit_price,exit_reason,pnl_pct
2020-01-01 13:00:00,1577883600000,BTC/USDT,1h,short,7215.54,7217.6,7071.2292,7217.6,stop,-0.01
2020-01-01 14:00:00,1577887200000,BTC/USDT,1h,short,7216.8,7217.6,7072.464,7217.6,stop,-0.01
2020-01-02 00:00:00,1577923200000,BTC/USDT,1h,short,7208.29,7225.0,7064.1242,7064.1242,target,1.0
2020-01-03 02:00:00,1578016800000,BTC/USDT,1h,short,6952.58,6982.83,6744.0026,6982.83,stop,-0.11
2020-01-03 04:00:00,1578024000000,BTC/USDT,1h,short,7204.37,7209.59,6988.238899999999,7209.59,stop,-0.02
2020-01-03 06:00:00,1578031200000,BTC/USDT,1h,short,7197.0,7209.59,6981.09,7209.59,stop,-0.04
2020-01-03 07:00:00,1578034800000,BTC/USDT,1h,short,7198.02,7209.59,6982.0794000000005,7209.59,stop,-0.04
2020-01-03 14:00:00,1578060000000,BTC/USDT,1h,long,7252.7,7227.73,7470.281,7470.281,target,0.75
2020-01-05 08:00:00,1578211200000,BTC/USDT,1h,long,7429.69,7390.73,,7390.73,stop,-0.52
2020-01-05 09:00:00,1578214800000,BTC/USDT,1h,long,7428.0,7390.73,,7390.73,stop,-0.5
2020-01-05 21:00:00,1578258000000,BTC/USDT,1h,long,7366.12,7358.45,7513.4424,7358.45,stop,-0.05
2020-01-05 22:00:00,1578261600000,BTC/USDT,1h,long,7353.16,7324.65,7500.2232,7324.65,stop,-0.19
2020-01-05 23:00:00,1578265200000,BTC/USDT,1h,long,7354.36,7324.65,7501.4472,7501.4472,target,1.0
2020-01-07 04:00:00,1578369600000,BTC/USDT,1h,long,7845.89,7808.65,,7808.65,stop,-0.47
2020-01-07 15:00:00,1578409200000,BTC/USDT,1h,long,7769.11,7545.97,,7545.97,stop,-2.87
2020-03-13 02:00:00,1584064800000,BTC/USDT,1h,short,4723.95,5977.99,4582.2315,4582.2315,target,0.75
2020-03-13 04:00:00,1584072000000,BTC/USDT,1h,short,4719.09,5977.99,4577.5173,4577.5173,target,0.75
2020-03-16 12:00:00,1584360000000,BTC/USDT,1h,short,4752.67,4793.1,4610.0899,4793.1,stop,-0.21
2020-03-16 13:00:00,1584363600000,BTC/USDT,1h,short,4837.25,4940.0,4692.1325,4940.0,stop,-0.53
2020-03-16 14:00:00,1584367200000,BTC/USDT,1h,short,4934.87,4940.0,4786.823899999999,4940.0,stop,-0.03
2020-03-16 15:00:00,1584370800000,BTC/USDT,1h,long,5143.88,5131.35,5298.1964,5131.35,stop,-0.06
2020-03-16 16:00:00,1584374400000,BTC/USDT,1h,long,5004.91,4481.0,5155.0573,5155.0573,target,0.75
2020-03-17 01:00:00,1584406800000,BTC/USDT,1h,long,5185.2,5169.6,5340.756,5169.6,stop,-0.08
2020-03-17 02:00:00,1584410400000,BTC/USDT,1h,long,5276.92,5169.6,5435.2276,5435.2276,target,0.75
2020-03-17 08:00:00,1584432000000,BTC/USDT,1h,long,5280.0,5169.6,5438.400000000001,5169.6,stop,-0.52
2020-03-17 09:00:00,1584435600000,BTC/USDT,1h,long,5222.94,5169.6,5379.6282,5169.6,stop,-0.26
2020-03-17 13:00:00,1584450000000,BTC/USDT,1h,long,5087.91,4843.51,5189.6682,5189.6682,target,1.0
2020-03-17 14:00:00,1584453600000,BTC/USDT,1h,long,5226.26,5219.0,5330.7852,5219.0,stop,-0.07
2020-03-17 15:00:00,1584457200000,BTC/USDT,1h,long,5359.88,5286.23,5467.0776000000005,5467.0776000000005,target,1.0
2020-03-17 16:00:00,1584460800000,BTC/USDT,1h,long,5347.08,5286.23,5454.0216,5286.23,stop,-0.57
2020-03-17 17:00:00,1584464400000,BTC/USDT,1h,long,5351.42,5286.23,5458.4484,5458.4484,target,1.0
2020-03-17 23:00:00,1584486000000,BTC/USDT,1h,long,5307.38,5072.51,5413.5276,5413.5276,target,1.0
2020-03-18 00:00:00,1584489600000,BTC/USDT,1h,short,5353.2,5414.9,5246.1359999999995,5414.9,stop,-0.58
2020-03-18 04:00:00,1584504000000,BTC/USDT,1h,short,5413.42,5446.0,5305.1516,5305.1516,target,1.0
2020-03-18 05:00:00,1584507600000,BTC/USDT,1h,long,5266.1,5072.51,5371.4220000000005,5072.51,stop,-1.84
2020-03-18 08:00:00,1584518400000,BTC/USDT,1h,long,5165.62,5072.51,5268.9324,5072.51,stop,-0.9
2020-03-18 10:00:00,1584525600000,BTC/USDT,1h,long,5076.55,5072.51,5178.081,5072.51,stop,-0.04
2020-03-18 11:00:00,1584529200000,BTC/USDT,1h,long,5136.25,5072.51,5238.975,5072.51,stop,-0.62
2020-03-18 12:00:00,1584532800000,BTC/USDT,1h,long,5108.09,5072.51,,5072.51,stop,-0.7
2020-03-18 14:00:00,1584540000000,BTC/USDT,1h,long,5300.68,5072.51,,66937.1,end,1162.8
