open_time,open_time_ms,symbol,timeframe,side,entry,stop_loss,take_profit,exit_price,exit_reason,pnl_pct
2017-08-22 00:00:00,1503360000000,ETH/USDT,1d,long,309.8,278.0,315.99600000000004,315.99600000000004,target,1.0
2017-09-02 00:00:00,1504310400000,ETH/USDT,1d,long,343.14,331.95,350.0028,331.95,stop,-1.63
2017-09-03 00:00:00,1504396800000,ETH/USDT,1d,long,341.77,331.95,348.6054,331.95,stop,-1.44
2017-09-04 00:00:00,1504483200000,ETH/USDT,1d,long,283.77,144.21,289.4454,289.4454,target,1.0
2017-09-05 00:00:00,1504569600000,ETH/USDT,1d,long,312.09,144.21,318.3318,318.3318,target,1.0
2017-09-06 00:00:00,1504656000000,ETH/USDT,1d,long,335.0,331.95,341.7,331.95,stop,-0.46
2017-09-07 00:00:00,1504742400000,ETH/USDT,1d,long,334.49,331.95,341.1798,331.95,stop,-0.38
2017-09-08 00:00:00,1504828800000,ETH/USDT,1d,long,302.99,144.21,309.0498,309.0498,target,1.0
2017-09-12 00:00:00,1505174400000,ETH/USDT,1d,long,293.96,144.21,299.8392,299.8392,target,1.0
2017-09-18 00:00:00,1505692800000,ETH/USDT,1d,long,294.57,144.21,300.4614,300.4614,target,1.0
2017-09-27 00:00:00,1506470400000,ETH/USDT,1d,long,309.74,144.21,315.9348,315.9348,target,1.0
2017-10-07 00:00:00,1507334400000,ETH/USDT,1d,long,311.01,144.21,320.3403,320.3403,target,0.75
2017-10-13 00:00:00,1507852800000,ETH/USDT,1d,long,337.96,331.95,348.0988,348.0988,target,0.75
2017-10-14 00:00:00,1507939200000,ETH/USDT,1d,long,342.0,331.95,352.26,331.95,stop,-0.73
2017-10-15 00:00:00,1508025600000,ETH/USDT,1d,long,337.96,331.95,344.7192,344.7192,target,1.0
2017-10-16 00:00:00,1508112000000,ETH/USDT,1d,long,335.19,331.95,341.8938,331.95,stop,-0.48
2017-10-17 00:00:00,1508198400000,ETH/USDT,1d,long,315.19,309.0,321.4938,309.0,stop,-0.98
2017-10-18 00:00:00,1508284800000,ETH/USDT,1d,long,309.7,302.71,315.894,302.71,stop,-1.13
2017-10-19 00:00:00,1508371200000,ETH/USDT,1d,long,308.66,302.71,314.83320000000003,302.71,stop,-0.96
2017-10-20 00:00:00,1508457600000,ETH/USDT,1d,long,304.51,302.71,310.6002,302.71,stop,-0.3
2017-10-21 00:00:00,1508544000000,ETH/USDT,1d,long,298.94,286.65,304.9188,304.9188,target,1.0
2017-10-22 00:00:00,1508630400000,ETH/USDT,1d,long,293.79,286.65,299.66580000000005,286.65,stop,-1.22
2017-10-23 00:00:00,1508716800000,ETH/USDT,1d,long,281.09,275.0,286.7118,286.7118,target,1.0
2017-10-24 00:00:00,1508803200000,ETH/USDT,1d,long,297.38,286.65,,286.65,stop,-3.61
2017-10-25 00:00:00,1508889600000,ETH/USDT,1d,long,294.49,286.65,,286.65,stop,-2.66
2017-11-01 00:00:00,1509494400000,ETH/USDT,1d,long,287.01,281.0,,281.0,stop,-2.09
2017-11-02 00:00:00,1509580800000,ETH/USDT,1d,long,283.12,281.0,,281.0,stop,-0.75
2018-08-15 00:00:00,1534291200000,ETH/USDT,1d,short,281.12,332.98,272.6864,272.6864,target,0.75
2018-08-20 00:00:00,1534723200000,ETH/USDT,1d,long,270.51,250.0,278.6253,278.6253,target,0.75
2018-08-21 00:00:00,1534809600000,ETH/USDT,1d,long,281.21,250.0,289.6463,289.6463,target,0.75
2018-08-22 00:00:00,1534896000000,ETH/USDT,1d,long,270.8,250.0,278.92400000000004,278.92400000000004,target,0.75
2018-08-23 00:00:00,1534982400000,ETH/USDT,1d,long,275.99,250.0,284.2697,284.2697,target,0.75
