open_time,open_time_ms,symbol,timeframe,side,entry,stop_loss,take_profit,exit_price,exit_reason,pnl_pct
2020-02-20 00:00:00,1582156800000,ETH/USDT,1d,short,257.11,286.841202692636,207.5579955122734,207.5579955122734,target,19.27
2020-03-24 00:00:00,1585008000000,ETH/USDT,1d,long,138.38,97.01677030751776,207.31871615413706,207.31871615413706,target,49.82
2020-05-06 00:00:00,1588723200000,ETH/USDT,1d,short,199.06,219.0744554972302,165.702574171283,219.0744554972302,stop,-10.05
2020-05-28 00:00:00,1590624000000,ETH/USDT,1d,long,220.32,202.48135580079492,250.0510736653418,250.0510736653418,target,13.49
2020-06-11 00:00:00,1591833600000,ETH/USDT,1d,short,230.48,251.1031405453303,196.10809909111615,251.1031405453303,stop,-8.95
2020-08-11 00:00:00,1597104000000,ETH/USDT,1d,short,379.3,416.2574105458267,317.70431575695557,416.2574105458267,stop,-9.74
2020-08-18 00:00:00,1597708800000,ETH/USDT,1d,short,422.36,461.0343527821709,357.9027453630485,461.0343527821709,stop,-9.16
2020-09-03 00:00:00,1599091200000,ETH/USDT,1d,short,381.62,431.19277972412107,298.9987004597982,431.19277972412107,stop,-12.99
2020-11-28 00:00:00,1606521600000,ETH/USDT,1d,short,537.46,596.3017605776857,439.39039903719055,596.3017605776857,stop,-10.95
2020-12-04 00:00:00,1607040000000,ETH/USDT,1d,short,567.68,632.2153272329422,460.12112127842965,632.2153272329422,stop,-11.37
2020-12-17 00:00:00,1608163200000,ETH/USDT,1d,long,643.12,586.007953195485,738.3067446741916,586.007953195485,stop,-8.88
2020-12-23 00:00:00,1608681600000,ETH/USDT,1d,short,585.34,650.1376377029679,477.3439371617202,650.1376377029679,stop,-11.07
2020-12-27 00:00:00,1609027200000,ETH/USDT,1d,long,685.97,616.7264108591612,801.3759819013982,801.3759819013982,target,16.82
2021-01-16 00:00:00,1610755200000,ETH/USDT,1d,short,1230.19,1436.91059405529,885.655676574517,1436.91059405529,stop,-16.8
2021-01-21 00:00:00,1611187200000,ETH/USDT,1d,short,1111.23,1337.3758950299182,734.3201749501363,1337.3758950299182,stop,-20.35
2021-02-03 00:00:00,1612310400000,ETH/USDT,1d,long,1666.0,1444.1532074514014,2035.7446542476644,2035.7446542476644,target,22.19
2021-02-20 00:00:00,1613779200000,ETH/USDT,1d,short,1914.58,2130.2750927502198,1555.0881787496332,1555.0881787496332,target,18.78
2021-03-08 00:00:00,1615161600000,ETH/USDT,1d,long,1834.3,1590.8993633426744,2239.967727762209,1590.8993633426744,stop,-13.27
2021-03-30 00:00:00,1617062400000,ETH/USDT,1d,long,1843.43,1664.8072314716126,2141.134614213979,2141.134614213979,target,16.15
2021-04-19 00:00:00,1618790400000,ETH/USDT,1d,short,2162.75,2413.3085432367625,1745.152427938729,2413.3085432367625,stop,-11.59
2021-04-27 00:00:00,1619481600000,ETH/USDT,1d,long,2668.39,2361.4959743574327,3179.880042737612,3179.880042737612,target,19.17
2021-05-16 00:00:00,1621123200000,ETH/USDT,1d,short,3581.39,4124.800136614285,2675.7064389761913,2675.7064389761913,target,25.29
2021-06-03 00:00:00,1622678400000,ETH/USDT,1d,long,2858.34,2232.970760145973,3900.622066423379,2232.970760145973,stop,-21.88
2021-06-29 00:00:00,1624924800000,ETH/USDT,1d,long,2165.15,1809.5627755108521,2757.79537414858,1809.5627755108521,stop,-16.42
2021-07-22 00:00:00,1626912000000,ETH/USDT,1d,long,2023.55,1778.1208038444752,2432.598660259208,2432.598660259208,target,20.21
2021-08-17 00:00:00,1629158400000,ETH/USDT,1d,short,3014.64,3334.4301464273904,2481.6564226210153,3334.4301464273904,stop,-10.61
2021-09-08 00:00:00,1631059200000,ETH/USDT,1d,short,3497.99,3894.3128478978024,2837.451920170329,2837.451920170329,target,18.88
2021-10-01 00:00:00,1633046400000,ETH/USDT,1d,long,3308.58,2909.3102244631173,3974.029625894804,3974.029625894804,target,20.11
2021-11-12 00:00:00,1636675200000,ETH/USDT,1d,short,4665.99,5024.34033005492,4068.7394499084667,4068.7394499084667,target,12.8
