open_time,open_time_ms,symbol,timeframe,side,entry,stop_loss,take_profit,exit_price,exit_reason,pnl_pct
2017-08-19 03:00:00,1503111600000,BTC/USDT,1h,long,4138.55,4006.9218693374364,4357.93021777094,4006.9218693374364,stop,-3.18
2017-08-19 12:00:00,1503144000000,BTC/USDT,1h,long,4095.0,3940.4583222112783,4352.569462981202,3940.4583222112783,stop,-3.77
2017-08-21 20:00:00,1503345600000,BTC/USDT,1h,long,4025.04,3912.155288341479,4213.181186097535,3912.155288341479,stop,-2.8
2017-08-22 09:00:00,1503392400000,BTC/USDT,1h,long,3904.56,3713.6292754647084,4222.777874225486,4222.777874225486,target,8.15
2017-08-24 11:00:00,1503572400000,BTC/USDT,1h,long,4202.0,4099.775764564262,4372.373725726229,4372.373725726229,target,4.05
2017-08-25 16:00:00,1503676800000,BTC/USDT,1h,long,4447.31,4354.742786933385,4601.588688444359,4354.742786933385,stop,-2.08
2017-08-26 20:00:00,1503777600000,BTC/USDT,1h,long,4333.56,4252.930322740008,4467.942795433321,4252.930322740008,stop,-1.86
2017-08-28 11:00:00,1503918000000,BTC/USDT,1h,long,4308.0,4203.805704191295,4481.657159681175,4481.657159681175,target,4.03
2017-08-31 03:00:00,1504148400000,BTC/USDT,1h,long,4593.66,4516.475671510453,4722.300547482579,4722.300547482579,target,2.8
2017-09-01 10:00:00,1504260000000,BTC/USDT,1h,long,4761.42,4690.05790800658,4880.356819989034,4880.356819989034,target,2.5
2017-09-03 00:00:00,1504396800000,BTC/USDT,1h,long,4600.53,4410.320373305124,4917.546044491459,4410.320373305124,stop,-4.13
2017-09-03 19:00:00,1504465200000,BTC/USDT,1h,long,4529.0,4362.140281530254,4807.099530782911,4362.140281530254,stop,-3.68
2017-09-04 20:00:00,1504555200000,BTC/USDT,1h,long,4197.24,3996.7757716602,4531.347047232999,3996.7757716602,stop,-4.78
2017-09-05 06:00:00,1504591200000,BTC/USDT,1h,long,4013.46,3768.4190441863298,4421.861593022783,4421.861593022783,target,10.18
2017-09-06 07:00:00,1504681200000,BTC/USDT,1h,long,4461.29,4290.690586031604,4745.622356613994,4745.622356613994,target,6.37
2017-09-09 04:00:00,1504929600000,BTC/USDT,1h,long,4250.0,4088.3182068167343,4519.469655305443,4088.3182068167343,stop,-3.8
2017-09-10 13:00:00,1505048400000,BTC/USDT,1h,long,4108.31,3964.1864940218065,4348.51584329699,4348.51584329699,target,5.85
2017-09-13 17:00:00,1505322000000,BTC/USDT,1h,long,3950.0,3800.8397008808943,4198.600498531843,3800.8397008808943,stop,-3.78
2017-09-15 02:00:00,1505440800000,BTC/USDT,1h,long,3390.0,3196.969736782296,3711.71710536284,3196.969736782296,stop,-5.69
2017-09-15 12:00:00,1505476800000,BTC/USDT,1h,long,3330.0,3091.9841489742594,3726.693085042901,3726.693085042901,target,11.91
2017-09-17 14:00:00,1505656800000,BTC/USDT,1h,long,3648.86,3528.291524853778,3849.8074585770373,3849.8074585770373,target,5.51
2017-09-20 07:00:00,1505890800000,BTC/USDT,1h,long,3913.89,3809.89068358916,4087.222194018066,3809.89068358916,stop,-2.66
2017-09-22 03:00:00,1506049200000,BTC/USDT,1h,long,3697.51,3600.9459597904997,3858.4500670158345,3600.9459597904997,stop,-2.61
2017-09-22 18:00:00,1506103200000,BTC/USDT,1h,long,3559.99,3463.9431809106627,3720.068031815562,3720.068031815562,target,4.5
2017-09-25 02:00:00,1506304800000,BTC/USDT,1h,long,3742.07,3672.990039375951,3857.203267706749,3857.203267706749,target,3.08
2017-09-27 04:00:00,1506484800000,BTC/USDT,1h,long,3940.0,3877.7371387508774,4043.7714354152045,4043.7714354152045,target,2.63
2017-09-29 11:00:00,1506682800000,BTC/USDT,1h,long,4220.01,4100.316177026453,4419.4997049559115,4419.4997049559115,target,4.73
2017-10-03 18:00:00,1507053600000,BTC/USDT,1h,long,4278.0,4192.37873179534,4420.702113674433,4192.37873179534,stop,-2.0
2017-10-04 22:00:00,1507154400000,BTC/USDT,1h,long,4215.0,4135.479413909107,4347.534310151487,4135.479413909107,stop,-1.89
2017-10-05 09:00:00,1507194000000,BTC/USDT,1h,long,4199.12,4122.484428273535,4326.845952877442,4326.845952877442,target,3.04
2017-10-06 05:00:00,1507266000000,BTC/USDT,1h,long,4372.0,4302.378926226016,4488.0351229566395,4488.0351229566395,target,2.65
2017-10-09 15:00:00,1507561200000,BTC/USDT,1h,long,4664.31,4599.257343698624,4772.731093835627,4772.731093835627,target,2.32
2017-10-10 17:00:00,1507654800000,BTC/USDT,1h,long,4937.0,4840.614013790214,5097.643310349643,4840.614013790214,stop,-1.95
