region,price_per_m2,segment,source,url,pub_date,context
Ha Noi,123000000,apartment,Dantri BDS,https://dantri.com.vn/bat-dong-san/du-no-kinh-doanh-bat-dong-san-vuot-25-trieu-ty-dong-20260822144250909.htm,2026-08-22T15:04:23,"dựng: Giá chung cư đã giảm, ở Hà Nội trung bình 123 triệu/m2 5 tính năng máy giặt cực tiện"
Ha Noi,123000000,apartment,Dantri BDS,https://dantri.com.vn/bat-dong-san/ha-noi-vao-cuoc-vu-chung-cu-hanoi-homeland-bi-nut-sut-lun-20260822113134681.htm,2026-08-22T13:00:59,"dựng: Giá chung cư đã giảm, ở Hà Nội trung bình 123 triệu/m2 5 tính năng máy giặt cực tiện"
Ha Noi,123000000,apartment,Dantri BDS,https://dantri.com.vn/bat-dong-san/cham-tien-do-du-an-nha-o-xa-hoi-chung-cu-phu-tai-loc-bi-phat-85-trieu-dong-20260821183824189.htm,2026-08-21T22:04:05,"dựng: Giá chung cư đã giảm, ở Hà Nội trung bình 123 triệu/m2 5 tính năng máy giặt cực tiện"
National,40000000,land,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-dat-nen-giam-binh-quan-40-trieu-dongm2-20260821181625413.htm,2026-08-21T18:19:57,"này.\n· Giá đất nền bình quân cả nước giảm 2,5%, còn khoảng 40 triệu đồng/m2.\n· Thị trường đang điều chỉn"
Ho Chi Minh,66000000,mixed,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-dat-nen-giam-binh-quan-40-trieu-dongm2-20260821181625413.htm,2026-08-21T18:19:57,"hoảng 40 triệu đồng/m2; riêng TPHCM giảm gần 3%, còn khoảng 66 triệu đồng/m2. Đáng chú ý, giá chuyển nhượn"
Ha Noi,56000000,land,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-dat-nen-giam-binh-quan-40-trieu-dongm2-20260821181625413.htm,2026-08-21T18:19:57,"ều khu vực vẫn ở mức cao. Tại Hà Nội, đất nền Khu đô thị Cienco 5 Mê Linh được ghi nhận khoảng 40-56 triệu đồng/m2, Khu đô thị Minh Giang Đầm Và"
Ho Chi Minh,150000000,mixed,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-dat-nen-giam-binh-quan-40-trieu-dongm2-20260821181625413.htm,2026-08-21T18:19:57,"ng 105-160 triệu đồng/m2. Tại TPHCM, Vạn Phúc City có giá khoảng 100-150 triệu đồng/m2, Rio Vista 95-110 triệu đồng/"
Da Nang,70000000,mixed,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-dat-nen-giam-binh-quan-40-trieu-dongm2-20260821181625413.htm,2026-08-21T18:19:57,"ổn định, như Nam Hòa Xuân tại Đà Nẵng khoảng 66-70 triệu đồng/m2, Izumi City tại Đồng Nai 57-6"
Dong Nai,61000000,mixed,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-dat-nen-giam-binh-quan-40-trieu-dongm2-20260821181625413.htm,2026-08-21T18:19:57,"triệu đồng/m2, Izumi City tại Đồng Nai 57-61 triệu đồng/m2. Bộ Xây dựng đánh giá thị trư"
Ha Noi,440000000,mixed,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-dat-nen-giam-binh-quan-40-trieu-dongm2-20260821181625413.htm,2026-08-21T18:19:57,"iá tuyệt đối vẫn rất cao. Tại Hà Nội, Sunshine Riverside được ghi nhận khoảng 390-440 triệu đồng/m2, The Zei khoảng 375-380 triệu"
Ho Chi Minh,371000000,mixed,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-dat-nen-giam-binh-quan-40-trieu-dongm2-20260821181625413.htm,2026-08-21T18:19:57,"ng 285-292 triệu đồng/m2. Tại TPHCM, The Global City có giá khoảng 360-371 triệu đồng/m2, Saigon Mystery Villas 312-32"
Ha Noi,123000000,apartment,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-dat-nen-giam-binh-quan-40-trieu-dongm2-20260821181625413.htm,2026-08-21T18:19:57,"dựng: Giá chung cư đã giảm, ở Hà Nội trung bình 123 triệu/m2 5 tính năng máy giặt cực tiện"
