date,source,doc_id,title,category,impact_score,impact_direction,summary,url
2025-12-17,NHNN,3944/QĐ-NHNN,Lãi suất vay hỗ trợ nhà ở 4.6%/năm 2026,credit,0.35,positive,Quyết định 3944/QĐ-NHNN: duy trì lãi suất 4.6%/năm cho vay hỗ trợ nhà ở từ 01/01/2026.,https://luatvietnam.vn/tai-chinh/quyet-dinh-3944-qd-nhnn-2025-muc-lai-suat-ngan-hang-thuong-mai-cho-vay-ho-tro-nha-o-422415-d1.html
2025-12-31,NHNN,11686/NHNN-CSTT,Kiểm soát tăng trưởng tín dụng BĐS 2026,credit,-0.25,negative,Công văn 11686: siết hạn mức tăng trưởng tín dụng lĩnh vực BĐS thương mại trong năm 2026.,https://tapchinganhang.gov.vn/
2026-01-01,NHNN,4551/NHNN-CSTT,Tín dụng NOXH/KCN không tính vào hạn mức BĐS,credit,0.4,positive,Công văn 4551: dư nợ tăng thêm cho nhà ở xã hội và KCN không tính vào hạn mức tín dụng BĐS 2026.,https://thuviennhadat.vn/van-ban-phap-luat-viet-nam/cong-van-4551-nhnn-cstt-2026-tang-truong-tin-dung-708232.html
2026-03-31,NHNN,2382/NHNN-TD,Sửa đổi chương trình vay NOXH theo NQ 33,credit,0.3,positive,Công văn 2382 bổ sung hướng dẫn cho vay nhà ở xã hội/công nhân/cải tạo chung cư cũ.,https://luatvietnam.vn/
2026-07-01,NHNN,5341/NHNN-CSTT,Lãi suất vay NOXH 6.5%/7% H2/2026,credit,0.35,positive,Công văn 5341: lãi suất 6.5% (người mua) và 7% (chủ đầu tư) cho NOXH giai đoạn 01/07–31/12/2026.,https://luatvietnam.vn/tai-chinh/cong-van-5341-nhnn-cstt-2026-lai-suat-cho-vay-nha-o-xa-hoi-cong-nhan-cai-tao-chung-cu-cu-438685-d6.html
2026-08-14,Dantri BDS,m-don-loat-tin-moi-20260814180538916.htm,“Đất vàng” Thủ Thiêm đón loạt tin mới,news,0.2,positive,"(Dân trí) - Bất động sản Thủ Thiêm liên tục có diễn biến mới khi nhiều dự án lớn được tháo gỡ vướng mắc. Nổi bật Empire City, dự án có tổng vốn đầu tư khoảng 1,2 tỉ USD vừa được phép cho người nước ngoài sở hữu.",https://dantri.com.vn/bat-dong-san/dat-vang-thu-thiem-don-loat-tin-moi-20260814180538916.htm
2026-08-15,Dantri BDS,au-tu-bat-dong-san-20260815104637893.htm,VietinBank sắp bán tòa tháp tại Ciputra cho một chủ đầu tư bất động sản,news,0.0,neutral,"(Dân trí) - VietinBank dự kiến chính thức ký hợp đồng chuyển nhượng trong tháng 8 tòa tháp dang dở hơn 15 năm qua tại Ciputra cho một doanh nghiệp bất động sản hàng đầu trong nước, theo Chứng khoán Vietcap.",https://dantri.com.vn/kinh-doanh/vietinbank-sap-ban-toa-thap-tai-ciputra-cho-mot-chu-dau-tu-bat-dong-san-20260815104637893.htm
2026-08-16,Dantri BDS,g-sau-khi-mo-duong-20260816123246806.htm,Quy định mới  nhất về xử lý “nhà dị dạng” sau khi mở đường,news,-0.2,negative,"(Dân trí) - Với phần đất còn lại sau thu hồi không đủ diện tích tối thiểu, Hà Nội vận động người dân hợp thửa, hợp khối và yêu cầu địa phương kiểm soát chặt trật tự xây dựng.",https://dantri.com.vn/bat-dong-san/quy-dinh-moi-nhat-ve-xu-ly-nha-di-dang-sau-khi-mo-duong-20260816123246806.htm
2026-08-16,Dantri BDS,45-trieu-dongthang-20260816133641522.htm,Có 6 tỷ đồng nên mua nhà hay gửi ngân hàng lấy lãi 45 triệu đồng/tháng?,news,0.0,neutral,"(Dân trí) - Với 6 tỷ đồng, gửi ngân hàng lãi 9%/năm là lựa chọn an toàn trong ngắn hạn. Nhưng chọn tích sản bằng bất động sản, việc chờ quá lâu có thể khiến người mua mất lợi thế khi thị trường phục hồi.",https://dantri.com.vn/bat-dong-san/co-6-ty-dong-nen-mua-nha-hay-gui-ngan-hang-lay-lai-45-trieu-dongthang-20260816133641522.htm
2026-08-16,Dantri BDS,a-o-my-trong-1-nam-20260816110315080.htm,Người nước ngoài mua hơn 67.000 căn nhà ở Mỹ trong 1 năm,news,0.0,neutral,"(Dân trí) - Từ vị trí dẫn đầu, người mua Trung Quốc tụt xuống thứ ba, nhưng vẫn là nhóm chi tiêu ""mạnh tay"" nhất với giá mua trung bình khoảng 1 triệu USD mỗi căn.",https://dantri.com.vn/bat-dong-san/nguoi-nuoc-ngoai-mua-hon-67000-can-nha-o-my-trong-1-nam-20260816110315080.htm
