date,value
1960-01-01,5327827.0
1961-01-01,5434294.0
1962-01-01,5573815.0
1963-01-01,5694247.0
1964-01-01,5789228.0
1965-01-01,5856472.0
1966-01-01,5918002.0
1967-01-01,5991785.0
1968-01-01,6067714.0
1969-01-01,6136387.0
1970-01-01,6180877.0
1971-01-01,6213399.0
1972-01-01,6260956.0
1973-01-01,6307347.0
1974-01-01,6341405.0
1975-01-01,6338632.0
1976-01-01,6302504.0
1977-01-01,6281174.0
1978-01-01,6281738.0
1979-01-01,6294365.0
1980-01-01,6319408.0
1981-01-01,6354074.0
1982-01-01,6391309.0
1983-01-01,6418773.0
1984-01-01,6441865.0
1985-01-01,6470365.0
1986-01-01,6504124.0
1987-01-01,6545106.0
1988-01-01,6593386.0
1989-01-01,6646912.0
1990-01-01,6715519.0
1991-01-01,6799978.0
1992-01-01,6875364.0
1993-01-01,6938265.0
1994-01-01,6993795.0
1995-01-01,7040687.0
1996-01-01,7071850.0
1997-01-01,7088906.0
1998-01-01,7110001.0
1999-01-01,7143991.0
2000-01-01,7184250.0
2001-01-01,7229854.0
2002-01-01,7284753.0
2003-01-01,7339001.0
2004-01-01,7389625.0
2005-01-01,7437115.0
2006-01-01,7483934.0
2007-01-01,7551117.0
2008-01-01,7647675.0
2009-01-01,7743831.0
2010-01-01,7824909.0
2011-01-01,7912398.0
2012-01-01,7996861.0
2013-01-01,8089346.0
2014-01-01,8188649.0
2015-01-01,8282396.0
2016-01-01,8373338.0
2017-01-01,8451840.0
2018-01-01,8514329.0
2019-01-01,8575280.0
2020-01-01,8638167.0
2021-01-01,8704546.0
2022-01-01,8777088.0
2023-01-01,8888822.0
2024-01-01,9005582.0
