date,value
1960-01-01,52400000.0
1961-01-01,52800000.0
1962-01-01,53250000.0
1963-01-01,53650000.0
1964-01-01,54000000.0
1965-01-01,54348050.0
1966-01-01,54648500.0
1967-01-01,54943600.0
1968-01-01,55211700.0
1969-01-01,55441750.0
1970-01-01,55663250.0
1971-01-01,55896223.0
1972-01-01,56086065.0
1973-01-01,56194527.0
1974-01-01,56229974.0
1975-01-01,56225800.0
1976-01-01,56211968.0
1977-01-01,56193492.0
1978-01-01,56196504.0
1979-01-01,56246951.0
1980-01-01,56314216.0
1981-01-01,56333829.0
1982-01-01,56313641.0
1983-01-01,56332848.0
1984-01-01,56422072.0
1985-01-01,56550268.0
1986-01-01,56681396.0
1987-01-01,56802050.0
1988-01-01,56928327.0
1989-01-01,57076711.0
1990-01-01,57247586.0
1991-01-01,57424897.0
1992-01-01,57580402.0
1993-01-01,57718614.0
1994-01-01,57865745.0
1995-01-01,58019030.0
1996-01-01,58166950.0
1997-01-01,58316954.0
1998-01-01,58487141.0
1999-01-01,58682466.0
2000-01-01,58892514.0
2001-01-01,59119673.0
2002-01-01,59370479.0
2003-01-01,59647577.0
2004-01-01,59987905.0
2005-01-01,60401206.0
2006-01-01,60846820.0
2007-01-01,61322463.0
2008-01-01,61806995.0
2009-01-01,62276270.0
2010-01-01,62766365.0
2011-01-01,63258810.0
2012-01-01,63711000.0
2013-01-01,64139000.0
2014-01-01,64620000.0
2015-01-01,65088000.0
2016-01-01,65607000.0
2017-01-01,65966000.0
2018-01-01,66289000.0
2019-01-01,66631000.0
2020-01-01,66744000.0
2021-01-01,66984000.0
2022-01-01,67604000.0
2023-01-01,68492000.0
2024-01-01,69226000.0
