date,value
1960-01-01,93216000.0
1961-01-01,94055000.0
1962-01-01,94933000.0
1963-01-01,95900000.0
1964-01-01,96903000.0
1965-01-01,97952000.0
1966-01-01,98851000.0
1967-01-01,99879000.0
1968-01-01,101011000.0
1969-01-01,102219000.0
1970-01-01,103403000.0
1971-01-01,105697000.0
1972-01-01,107188000.0
1973-01-01,108707000.0
1974-01-01,110162000.0
1975-01-01,111573000.0
1976-01-01,112775000.0
1977-01-01,113872000.0
1978-01-01,114913000.0
1979-01-01,115890000.0
1980-01-01,116807000.0
1981-01-01,117661000.0
1982-01-01,118480000.0
1983-01-01,119307000.0
1984-01-01,120083000.0
1985-01-01,120837000.0
1986-01-01,121482000.0
1987-01-01,122069000.0
1988-01-01,122578000.0
1989-01-01,123069000.0
1990-01-01,123478000.0
1991-01-01,123964000.0
1992-01-01,124425000.0
1993-01-01,124829000.0
1994-01-01,125178000.0
1995-01-01,125472000.0
1996-01-01,125757000.0
1997-01-01,126057000.0
1998-01-01,126400000.0
1999-01-01,126631000.0
2000-01-01,126843000.0
2001-01-01,127149000.0
2002-01-01,127445000.0
2003-01-01,127718000.0
2004-01-01,127761000.0
2005-01-01,127773000.0
2006-01-01,127854000.0
2007-01-01,128001000.0
2008-01-01,128063000.0
2009-01-01,128047000.0
2010-01-01,128070000.0
2011-01-01,127833000.0
2012-01-01,127629000.0
2013-01-01,127445000.0
2014-01-01,127276000.0
2015-01-01,127141000.0
2016-01-01,127076000.0
2017-01-01,126972000.0
2018-01-01,126811000.0
2019-01-01,126633000.0
2020-01-01,126261000.0
2021-01-01,125681593.0
2022-01-01,125124989.0
2023-01-01,124516650.0
2024-01-01,123975371.0
