date,value
1960-01-01,180671000.0
1961-01-01,183691000.0
1962-01-01,186538000.0
1963-01-01,189242000.0
1964-01-01,191889000.0
1965-01-01,194303000.0
1966-01-01,196560000.0
1967-01-01,198712000.0
1968-01-01,200706000.0
1969-01-01,202677000.0
1970-01-01,205052000.0
1971-01-01,207661000.0
1972-01-01,209896000.0
1973-01-01,211909000.0
1974-01-01,213854000.0
1975-01-01,215973000.0
1976-01-01,218035000.0
1977-01-01,220239000.0
1978-01-01,222585000.0
1979-01-01,225055000.0
1980-01-01,227225000.0
1981-01-01,229466000.0
1982-01-01,231664000.0
1983-01-01,233792000.0
1984-01-01,235825000.0
1985-01-01,237924000.0
1986-01-01,240133000.0
1987-01-01,242289000.0
1988-01-01,244499000.0
1989-01-01,246819000.0
1990-01-01,249623000.0
1991-01-01,252981000.0
1992-01-01,256514000.0
1993-01-01,259919000.0
1994-01-01,263126000.0
1995-01-01,266278000.0
1996-01-01,269394000.0
1997-01-01,272657000.0
1998-01-01,275854000.0
1999-01-01,279040000.0
2000-01-01,282162411.0
2001-01-01,284968955.0
2002-01-01,287625193.0
2003-01-01,290107933.0
2004-01-01,292805298.0
2005-01-01,295516599.0
2006-01-01,298379912.0
2007-01-01,301231207.0
2008-01-01,304093966.0
2009-01-01,306771529.0
2010-01-01,309378227.0
2011-01-01,311839461.0
2012-01-01,314339099.0
2013-01-01,316726282.0
2014-01-01,319257560.0
2015-01-01,321815121.0
2016-01-01,324353340.0
2017-01-01,326608609.0
2018-01-01,328529577.0
2019-01-01,330226227.0
2020-01-01,331577720.0
2021-01-01,332099760.0
2022-01-01,334017321.0
2023-01-01,336806231.0
2024-01-01,340110988.0
