date,value
1960-01-01,32531933.0
1961-01-01,33409059.0
1962-01-01,34288560.0
1963-01-01,35249101.0
1964-01-01,36201563.0
1965-01-01,37129656.0
1966-01-01,38024836.0
1967-01-01,38895080.0
1968-01-01,39734609.0
1969-01-01,40582096.0
1970-01-01,41475230.0
1971-01-01,42449276.0
1972-01-01,43429168.0
1973-01-01,44409861.0
1974-01-01,45413537.0
1975-01-01,46482903.0
1976-01-01,47684931.0
1977-01-01,48954872.0
1978-01-01,50249552.0
1979-01-01,51378211.0
1980-01-01,52490101.0
1981-01-01,53738141.0
1982-01-01,55011289.0
1983-01-01,56337921.0
1984-01-01,57706067.0
1985-01-01,59060622.0
1986-01-01,60347048.0
1987-01-01,61584651.0
1988-01-01,62843228.0
1989-01-01,64147348.0
1990-01-01,65504552.0
1991-01-01,66891775.0
1992-01-01,68260337.0
1993-01-01,69586384.0
1994-01-01,70854391.0
1995-01-01,72049940.0
1996-01-01,73156447.0
1997-01-01,74226889.0
1998-01-01,75299660.0
1999-01-01,76287452.0
2000-01-01,77154011.0
2001-01-01,77969361.0
2002-01-01,78772224.0
2003-01-01,79563777.0
2004-01-01,80338971.0
2005-01-01,81088313.0
2006-01-01,82167897.0
2007-01-01,83633375.0
2008-01-01,85175788.0
2009-01-01,86460018.0
2010-01-01,87455152.0
2011-01-01,88468314.0
2012-01-01,89510356.0
2013-01-01,90573104.0
2014-01-01,91679578.0
2015-01-01,92823254.0
2016-01-01,94000117.0
2017-01-01,95176977.0
2018-01-01,96237319.0
2019-01-01,97173776.0
2020-01-01,98079191.0
2021-01-01,98935098.0
2022-01-01,99680655.0
2023-01-01,100352192.0
2024-01-01,100987686.0
