date,value
1960-01-01,2.37
1961-01-01,2.45
1962-01-01,2.44
1963-01-01,2.51
1964-01-01,2.54
1965-01-01,2.5
1966-01-01,2.53
1967-01-01,2.48
1968-01-01,2.38
1969-01-01,2.21
1970-01-01,2.03
1971-01-01,1.92
1972-01-01,1.71
1973-01-01,1.54
1974-01-01,1.51
1975-01-01,1.45
1976-01-01,1.45
1977-01-01,1.4
1978-01-01,1.38
1979-01-01,1.38
1980-01-01,1.44
1981-01-01,1.43
1982-01-01,1.41
1983-01-01,1.33
1984-01-01,1.29
1985-01-01,1.37
1986-01-01,1.43
1987-01-01,1.43
1988-01-01,1.46
1989-01-01,1.42
1990-01-01,1.45
1991-01-01,1.33
1992-01-01,1.29
1993-01-01,1.28
1994-01-01,1.24
1995-01-01,1.25
1996-01-01,1.3
1997-01-01,1.35
1998-01-01,1.36
1999-01-01,1.36
2000-01-01,1.38
2001-01-01,1.35
2002-01-01,1.34
2003-01-01,1.34
2004-01-01,1.36
2005-01-01,1.34
2006-01-01,1.33
2007-01-01,1.37
2008-01-01,1.38
2009-01-01,1.36
2010-01-01,1.39
2011-01-01,1.39
2012-01-01,1.41
2013-01-01,1.42
2014-01-01,1.47
2015-01-01,1.5
2016-01-01,1.6
2017-01-01,1.57
2018-01-01,1.57
2019-01-01,1.54
2020-01-01,1.53
2021-01-01,1.58
2022-01-01,1.455
2023-01-01,1.39
