date,value
1960-01-01,2.85
1961-01-01,2.87
1962-01-01,2.89
1963-01-01,2.89
1964-01-01,2.87
1965-01-01,2.84
1966-01-01,2.8
1967-01-01,2.75
1968-01-01,2.69
1969-01-01,2.62
1970-01-01,2.55
1971-01-01,2.47
1972-01-01,2.38
1973-01-01,2.28
1974-01-01,2.18
1975-01-01,2.09
1976-01-01,2.01
1977-01-01,1.94
1978-01-01,1.89
1979-01-01,1.87
1980-01-01,1.85
1981-01-01,1.85
1982-01-01,1.86
1983-01-01,1.86
1984-01-01,1.86
1985-01-01,1.86
1986-01-01,1.85
1987-01-01,1.83
1988-01-01,1.81
1989-01-01,1.79
1990-01-01,1.77
1991-01-01,1.75
1992-01-01,1.74
1993-01-01,1.73
1994-01-01,1.73
1995-01-01,1.74
1996-01-01,1.75
1997-01-01,1.77
1998-01-01,1.78
1999-01-01,1.81
2000-01-01,1.89
2001-01-01,1.9
2002-01-01,1.88
2003-01-01,1.89
2004-01-01,1.92
2005-01-01,1.94
2006-01-01,2.0
2007-01-01,1.98
2008-01-01,2.01
2009-01-01,2.0
2010-01-01,2.03
2011-01-01,2.01
2012-01-01,2.01
2013-01-01,1.99
2014-01-01,2.0
2015-01-01,1.96
2016-01-01,1.92
2017-01-01,1.89
2018-01-01,1.87
2019-01-01,1.86
2020-01-01,1.83
2021-01-01,1.84
2022-01-01,1.79
2023-01-01,1.66
