date,value
1960-01-01,2.69
1961-01-01,2.78
1962-01-01,2.86
1963-01-01,2.88
1964-01-01,2.93
1965-01-01,2.86
1966-01-01,2.78
1967-01-01,2.68
1968-01-01,2.6
1969-01-01,2.51
1970-01-01,2.44
1971-01-01,2.41
1972-01-01,2.2
1973-01-01,2.04
1974-01-01,1.92
1975-01-01,1.81
1976-01-01,1.74
1977-01-01,1.69
1978-01-01,1.75
1979-01-01,1.86
1980-01-01,1.9
1981-01-01,1.82
1982-01-01,1.78
1983-01-01,1.77
1984-01-01,1.77
1985-01-01,1.79
1986-01-01,1.78
1987-01-01,1.81
1988-01-01,1.82
1989-01-01,1.79
1990-01-01,1.83
1991-01-01,1.82
1992-01-01,1.79
1993-01-01,1.76
1994-01-01,1.74
1995-01-01,1.71
1996-01-01,1.73
1997-01-01,1.72
1998-01-01,1.71
1999-01-01,1.68
2000-01-01,1.64
2001-01-01,1.63
2002-01-01,1.63
2003-01-01,1.7
2004-01-01,1.75
2005-01-01,1.76
2006-01-01,1.82
2007-01-01,1.86
2008-01-01,1.91
2009-01-01,1.89
2010-01-01,1.92
2011-01-01,1.91
2012-01-01,1.92
2013-01-01,1.83
2014-01-01,1.81
2015-01-01,1.8
2016-01-01,1.79
2017-01-01,1.74
2018-01-01,1.68
2019-01-01,1.632
2020-01-01,1.571
2021-01-01,1.583
2022-01-01,1.56
2023-01-01,1.56
