date,value
1960-01-01,2.0
1961-01-01,1.96
1962-01-01,1.98
1963-01-01,2.0
1964-01-01,2.05
1965-01-01,2.14
1966-01-01,1.58
1967-01-01,2.23
1968-01-01,2.13
1969-01-01,2.13
1970-01-01,2.13
1971-01-01,2.16
1972-01-01,2.14
1973-01-01,2.14
1974-01-01,2.05
1975-01-01,1.91
1976-01-01,1.85
1977-01-01,1.8
1978-01-01,1.79
1979-01-01,1.77
1980-01-01,1.75
1981-01-01,1.74
1982-01-01,1.77
1983-01-01,1.8
1984-01-01,1.81
1985-01-01,1.76
1986-01-01,1.72
1987-01-01,1.69
1988-01-01,1.66
1989-01-01,1.57
1990-01-01,1.54
1991-01-01,1.53
1992-01-01,1.5
1993-01-01,1.46
1994-01-01,1.5
1995-01-01,1.42
1996-01-01,1.43
1997-01-01,1.39
1998-01-01,1.38
1999-01-01,1.34
2000-01-01,1.36
2001-01-01,1.33
2002-01-01,1.32
2003-01-01,1.29
2004-01-01,1.29
2005-01-01,1.26
2006-01-01,1.32
2007-01-01,1.34
2008-01-01,1.37
2009-01-01,1.37
2010-01-01,1.39
2011-01-01,1.39
2012-01-01,1.41
2013-01-01,1.43
2014-01-01,1.42
2015-01-01,1.45
2016-01-01,1.44
2017-01-01,1.43
2018-01-01,1.42
2019-01-01,1.36
2020-01-01,1.33
2021-01-01,1.3
2022-01-01,1.26
2023-01-01,1.2
