date,value
1960-01-01,5.994
1961-01-01,5.803
1962-01-01,5.562
1963-01-01,5.334
1964-01-01,5.068
1965-01-01,4.887
1966-01-01,4.782
1967-01-01,4.615
1968-01-01,4.51
1969-01-01,4.447
1970-01-01,4.53
1971-01-01,4.54
1972-01-01,4.12
1973-01-01,4.07
1974-01-01,3.77
1975-01-01,3.43
1976-01-01,3.0
1977-01-01,2.99
1978-01-01,2.64
1979-01-01,2.9
1980-01-01,2.82
1981-01-01,2.57
1982-01-01,2.39
1983-01-01,2.06
1984-01-01,1.74
1985-01-01,1.66
1986-01-01,1.58
1987-01-01,1.53
1988-01-01,1.55
1989-01-01,1.56
1990-01-01,1.57
1991-01-01,1.71
1992-01-01,1.76
1993-01-01,1.654
1994-01-01,1.656
1995-01-01,1.634
1996-01-01,1.574
1997-01-01,1.537
1998-01-01,1.464
1999-01-01,1.425
2000-01-01,1.48
2001-01-01,1.309
2002-01-01,1.178
2003-01-01,1.191
2004-01-01,1.164
2005-01-01,1.085
2006-01-01,1.132
2007-01-01,1.259
2008-01-01,1.192
2009-01-01,1.149
2010-01-01,1.226
2011-01-01,1.244
2012-01-01,1.297
2013-01-01,1.187
2014-01-01,1.205
2015-01-01,1.239
2016-01-01,1.172
2017-01-01,1.052
2018-01-01,0.977
2019-01-01,0.918
2020-01-01,0.837
2021-01-01,0.808
2022-01-01,0.778
2023-01-01,0.721
