date,value
1960-01-01,6.273
1961-01-01,5.476
1962-01-01,6.257
1963-01-01,6.385
1964-01-01,6.285
1965-01-01,6.156
1966-01-01,5.968
1967-01-01,5.883
1968-01-01,6.029
1969-01-01,6.013
1970-01-01,6.019
1971-01-01,6.069
1972-01-01,6.1
1973-01-01,6.108
1974-01-01,5.781
1975-01-01,5.621
1976-01-01,5.461
1977-01-01,5.291
1978-01-01,5.104
1979-01-01,4.94
1980-01-01,4.795
1981-01-01,4.665
1982-01-01,4.593
1983-01-01,4.524
1984-01-01,4.412
1985-01-01,4.206
1986-01-01,3.955
1987-01-01,3.717
1988-01-01,3.623
1989-01-01,3.641
1990-01-01,3.602
1991-01-01,3.524
1992-01-01,3.353
1993-01-01,3.172
1994-01-01,2.941
1995-01-01,2.7
1996-01-01,2.468
1997-01-01,2.274
1998-01-01,2.098
1999-01-01,1.999
2000-01-01,2.028
2001-01-01,2.023
2002-01-01,2.006
2003-01-01,1.999
2004-01-01,1.968
2005-01-01,1.887
2006-01-01,1.873
2007-01-01,1.911
2008-01-01,1.933
2009-01-01,1.92
2010-01-01,1.906
2011-01-01,1.927
2012-01-01,1.967
2013-01-01,1.98
2014-01-01,2.09
2015-01-01,2.1
2016-01-01,2.0
2017-01-01,1.985
2018-01-01,1.88
2019-01-01,1.943
2020-01-01,1.957
2021-01-01,1.942
2022-01-01,1.927
2023-01-01,1.913
