date,region,price_actual,price_predicted,actual_kind,error_vnd,error_pct,abs_error_pct
2025-11-01,Binh Duong,18000000.0,17722523.0,interpolated,-277477.0,-1.54,1.54
2025-11-01,Da Nang,16666667.0,16349637.0,interpolated,-317030.0,-1.9,1.9
2025-11-01,Dong Nai,17000000.0,16728952.0,interpolated,-271048.0,-1.59,1.59
2025-11-01,Ha Noi,50666667.0,50186855.0,interpolated,-479812.0,-0.95,0.95
2025-11-01,Ho Chi Minh,57000000.0,56775406.0,interpolated,-224594.0,-0.39,0.39
2025-11-01,National Avg,31866667.0,31552675.0,mixed,-313992.0,-0.99,0.99
2025-12-01,Binh Duong,18250000.0,17907902.0,interpolated,-342098.0,-1.87,1.87
2025-12-01,Da Nang,16833333.0,16438234.0,interpolated,-395099.0,-2.35,2.35
2025-12-01,Dong Nai,17250000.0,16916321.0,interpolated,-333679.0,-1.93,1.93
2025-12-01,Ha Noi,51333333.0,50748962.0,interpolated,-584371.0,-1.14,1.14
2025-12-01,Ho Chi Minh,57500000.0,57228141.0,interpolated,-271859.0,-0.47,0.47
2025-12-01,National Avg,32233333.0,31847912.0,mixed,-385421.0,-1.2,1.2
2026-01-01,Binh Duong,18500000.0,18095220.0,observed,-404780.0,-2.19,2.19
2026-01-01,Da Nang,17000000.0,16527311.0,observed,-472689.0,-2.78,2.78
2026-01-01,Dong Nai,17500000.0,17105788.0,observed,-394212.0,-2.25,2.25
2026-01-01,Ha Noi,52000000.0,51317365.0,observed,-682635.0,-1.31,1.31
2026-01-01,Ho Chi Minh,58000000.0,57684487.0,observed,-315513.0,-0.54,0.54
2026-01-01,National Avg,32600000.0,32146034.0,mixed,-453966.0,-1.39,1.39
2026-02-01,Binh Duong,17450000.0,18724844.0,interpolated,1274844.0,7.31,7.31
2026-02-01,Da Nang,16133333.0,17131661.0,interpolated,998328.0,6.19,6.19
2026-02-01,Dong Nai,16491667.0,17726675.0,interpolated,1235008.0,7.49,7.49
2026-02-01,Ha Noi,49500000.0,52631995.0,interpolated,3131995.0,6.33,6.33
2026-02-01,Ho Chi Minh,55266667.0,58528523.0,interpolated,3261856.0,5.9,5.9
2026-02-01,National Avg,30968333.0,32948740.0,mixed,1980406.0,6.39,6.39
2026-03-01,Binh Duong,16400000.0,18952421.0,interpolated,2552421.0,15.56,15.56
2026-03-01,Da Nang,15266667.0,17264342.0,interpolated,1997675.0,13.09,13.09
2026-03-01,Dong Nai,15483333.0,17956286.0,interpolated,2472953.0,15.97,15.97
2026-03-01,Ha Noi,47000000.0,53271671.0,interpolated,6271671.0,13.34,13.34
2026-03-01,Ho Chi Minh,52533333.0,59061862.0,interpolated,6528529.0,12.43,12.43
2026-03-01,National Avg,29336667.0,33301316.0,mixed,3964650.0,13.51,13.51
2026-04-01,Binh Duong,15350000.0,19182764.0,interpolated,3832764.0,24.97,24.97
2026-04-01,Da Nang,14400000.0,17398050.0,interpolated,2998050.0,20.82,20.82
2026-04-01,Dong Nai,14475000.0,18188872.0,interpolated,3713872.0,25.66,25.66
2026-04-01,Ha Noi,44500000.0,53919121.0,interpolated,9419121.0,21.17,21.17
2026-04-01,Ho Chi Minh,49800000.0,59600062.0,interpolated,9800062.0,19.68,19.68
2026-04-01,National Avg,27705000.0,33657774.0,mixed,5952774.0,21.49,21.49
2026-05-01,Binh Duong,14300000.0,19415907.0,interpolated,5115907.0,35.78,35.78
2026-05-01,Da Nang,13533333.0,17532794.0,interpolated,3999461.0,29.55,29.55
2026-05-01,Dong Nai,13466667.0,18424470.0,interpolated,4957803.0,36.82,36.82
2026-05-01,Ha Noi,42000000.0,54574440.0,interpolated,12574440.0,29.94,29.94
2026-05-01,Ho Chi Minh,47066667.0,60143166.0,interpolated,13076499.0,27.78,27.78
2026-05-01,National Avg,26073333.0,34018155.0,mixed,7944822.0,30.47,30.47
2026-06-01,Binh Duong,13250000.0,19651883.0,interpolated,6401883.0,48.32,48.32
2026-06-01,Da Nang,12666667.0,17668581.0,interpolated,5001914.0,39.49,39.49
2026-06-01,Dong Nai,12458333.0,18663120.0,interpolated,6204787.0,49.8,49.8
2026-06-01,Ha Noi,39500000.0,55237724.0,interpolated,15737724.0,39.84,39.84
2026-06-01,Ho Chi Minh,44333333.0,60691218.0,interpolated,16357885.0,36.9,36.9
2026-06-01,National Avg,24441667.0,34382505.0,mixed,9940839.0,40.67,40.67
2026-07-01,Binh Duong,12200000.0,19890726.0,observed,7690726.0,63.04,63.04
2026-07-01,Da Nang,11800000.0,17805421.0,observed,6005421.0,50.89,50.89
2026-07-01,Dong Nai,11450000.0,18904860.0,observed,7454860.0,65.11,65.11
2026-07-01,Ha Noi,37000000.0,55909069.0,observed,18909069.0,51.11,51.11
2026-07-01,Ho Chi Minh,41600000.0,61244265.0,observed,19644265.0,47.22,47.22
2026-07-01,National Avg,22810000.0,34750868.0,mixed,11940868.0,52.35,52.35
2026-08-01,Binh Duong,11382155.0,11867800.0,extrapolated,485645.0,4.27,4.27
2026-08-01,Da Nang,11103354.0,11503702.0,extrapolated,400348.0,3.61,3.61
2026-08-01,Dong Nai,10668419.0,11135633.0,extrapolated,467214.0,4.38,4.38
2026-08-01,Ha Noi,34959734.0,36206754.0,extrapolated,1247020.0,3.57,3.57
2026-08-01,Ho Chi Minh,39358411.0,40641539.0,extrapolated,1283128.0,3.26,3.26
2026-08-01,National Avg,21494415.0,22271086.0,mixed,776671.0,3.61,3.61
