date,region,price_per_m2,price_per_m2_policy,yoy_implied,index_base,index_policy,is_forecast,origin
2025-11-01,Binh Duong,17722523.0,17722523.0,13.3,295.4,295.4,True,2025-11-01
2025-11-01,Da Nang,16349637.0,16349637.0,6.7,199.4,199.4,True,2025-11-01
2025-11-01,Dong Nai,16728952.0,16728952.0,14.3,304.2,304.2,True,2025-11-01
2025-11-01,Ha Noi,50186855.0,50186855.0,14.3,239.0,239.0,True,2025-11-01
2025-11-01,Ho Chi Minh,56775406.0,56775406.0,10.0,283.9,283.9,True,2025-11-01
2025-12-01,Binh Duong,17855148.0,17855148.0,13.3,297.6,297.6,True,2025-11-01
2025-12-01,Da Nang,16389566.0,16389566.0,6.7,199.9,199.9,True,2025-11-01
2025-12-01,Dong Nai,16866524.0,16866524.0,14.3,306.7,306.7,True,2025-11-01
2025-12-01,Ha Noi,50599571.0,50599571.0,14.3,241.0,241.0,True,2025-11-01
2025-12-01,Ho Chi Minh,57059138.0,57059138.0,10.0,285.3,285.3,True,2025-11-01
2026-01-01,Binh Duong,17988765.0,17988765.0,13.1,299.8,299.8,True,2025-11-01
2026-01-01,Da Nang,16429592.0,16429592.0,6.5,200.4,200.4,True,2025-11-01
2026-01-01,Dong Nai,17005227.0,17005227.0,14.1,309.2,309.2,True,2025-11-01
2026-01-01,Ha Noi,51015681.0,51015681.0,14.1,242.9,242.9,True,2025-11-01
2026-01-01,Ho Chi Minh,57344288.0,57344288.0,9.8,286.7,286.7,True,2025-11-01
2026-02-01,Binh Duong,18120705.0,18120705.0,13.1,302.0,302.0,True,2025-11-01
2026-02-01,Da Nang,16467134.0,16467134.0,6.5,200.8,200.8,True,2025-11-01
2026-02-01,Dong Nai,17142562.0,17142562.0,14.1,311.7,311.7,True,2025-11-01
2026-02-01,Ha Noi,51427685.0,51427685.0,14.1,244.9,244.9,True,2025-11-01
2026-02-01,Ho Chi Minh,57622097.0,57622097.0,9.8,288.1,288.1,True,2025-11-01
2026-03-01,Binh Duong,18253614.0,18253614.0,13.1,304.2,304.2,True,2025-11-01
2026-03-01,Da Nang,16504761.0,16504761.0,6.5,201.3,201.3,True,2025-11-01
2026-03-01,Dong Nai,17281005.0,17281005.0,14.1,314.2,314.2,True,2025-11-01
2026-03-01,Ha Noi,51843016.0,51843016.0,14.1,246.9,246.9,True,2025-11-01
2026-03-01,Ho Chi Minh,57901253.0,57901253.0,9.8,289.5,289.5,True,2025-11-01
2026-04-01,Binh Duong,18387497.0,18387497.0,12.9,306.5,306.5,True,2025-11-01
2026-04-01,Da Nang,16542474.0,16542474.0,6.3,201.7,201.7,True,2025-11-01
2026-04-01,Dong Nai,17420567.0,17420567.0,13.9,316.7,316.7,True,2025-11-01
2026-04-01,Ha Noi,52261702.0,52261702.0,13.9,248.9,248.9,True,2025-11-01
2026-04-01,Ho Chi Minh,58181761.0,58181761.0,9.6,290.9,290.9,True,2025-11-01
2026-05-01,Binh Duong,18519622.0,18519622.0,12.9,308.7,308.7,True,2025-11-01
2026-05-01,Da Nang,16577669.0,16577669.0,6.3,202.2,202.2,True,2025-11-01
2026-05-01,Dong Nai,17558681.0,17558681.0,13.9,319.2,319.2,True,2025-11-01
2026-05-01,Ha Noi,52676044.0,52676044.0,13.9,250.8,250.8,True,2025-11-01
2026-05-01,Ho Chi Minh,58454719.0,58454719.0,9.6,292.3,292.3,True,2025-11-01
2026-06-01,Binh Duong,18652697.0,18652697.0,12.9,310.9,310.9,True,2025-11-01
2026-06-01,Da Nang,16612939.0,16612939.0,6.3,202.6,202.6,True,2025-11-01
2026-06-01,Dong Nai,17697891.0,17697891.0,13.9,321.8,321.8,True,2025-11-01
2026-06-01,Ha Noi,53093672.0,53093672.0,13.9,252.8,252.8,True,2025-11-01
2026-06-01,Ho Chi Minh,58728959.0,58728959.0,9.6,293.6,293.6,True,2025-11-01
2026-07-01,Binh Duong,18786728.0,18786728.0,12.7,313.1,313.1,True,2025-11-01
2026-07-01,Da Nang,16648284.0,16648284.0,6.1,203.0,203.0,True,2025-11-01
2026-07-01,Dong Nai,17838203.0,17838203.0,13.7,324.3,324.3,True,2025-11-01
2026-07-01,Ha Noi,53514610.0,53514610.0,13.7,254.8,254.8,True,2025-11-01
2026-07-01,Ho Chi Minh,59004485.0,59004485.0,9.4,295.0,295.0,True,2025-11-01
2026-08-01,Binh Duong,18918919.0,18918919.0,12.7,315.3,315.3,True,2025-11-01
2026-08-01,Da Nang,16681078.0,16681078.0,6.1,203.4,203.4,True,2025-11-01
2026-08-01,Dong Nai,17976988.0,17976988.0,13.7,326.9,326.9,True,2025-11-01
2026-08-01,Ha Noi,53930963.0,53930963.0,13.7,256.8,256.8,True,2025-11-01
2026-08-01,Ho Chi Minh,59272254.0,59272254.0,9.4,296.4,296.4,True,2025-11-01
