date,price_per_m2,price_per_m2_policy,yoy_implied,index_base,index_policy,region,is_forecast
2026-08-01,22652055.0,22652055.0,-8.0,186.62,186.62,National Avg,True
2026-09-01,22521959.0,22522147.6,-8.0,185.57999999999998,185.57999999999998,National Avg,True
2026-10-01,22392610.6,22392986.2,-6.0,184.5,184.5,National Avg,True
2026-11-01,22303894.6,22304455.2,-6.0,183.76,183.76,National Avg,True
2026-12-01,22215530.0,22216274.4,-6.0,183.04000000000002,183.04000000000002,National Avg,True
2027-01-01,22127515.4,22128441.4,-4.0,182.3,182.32,National Avg,True
2027-02-01,22078505.6,22079614.0,-4.0,181.88000000000002,181.88000000000002,National Avg,True
2027-03-01,22029604.0,22030894.2,-4.0,181.52,181.52,National Avg,True
2027-04-01,21980811.0,21982281.8,-2.0,181.07999999999998,181.12,National Avg,True
2027-05-01,21969799.2,21971452.4,-2.0,180.98,181.02,National Avg,True
2027-06-01,21958792.8,21960628.6,-2.0,180.88,180.92000000000002,National Avg,True
2027-07-01,21947791.8,21949809.8,0.0,180.8,180.84,National Avg,True
2027-08-01,21973715.8,21975919.0,0.0,181.02,181.04000000000002,National Avg,True
2027-09-01,21999670.6,22002059.4,0.0,181.24,181.24,National Avg,True
2027-10-01,22025655.8,22028230.8,0.0,181.44,181.5,National Avg,True
2027-11-01,22051671.8,22054433.6,0.0,181.68,181.7,National Avg,True
2027-12-01,22077718.4,22080667.2,0.0,181.88000000000002,181.9,National Avg,True
