date,region,price_per_m2,price_per_m2_policy,yoy_implied,index_base,index_policy,is_forecast
2026-08-01,Binh Duong,12115523.0,12115523.0,-8.0,201.9,201.9,True
2026-08-01,Da Nang,11718292.0,11718292.0,-8.0,142.9,142.9,True
2026-08-01,Dong Nai,11370716.0,11370716.0,-8.0,206.7,206.7,True
2026-08-01,Ha Noi,36743798.0,36743798.0,-8.0,175.0,175.0,True
2026-08-01,Ho Chi Minh,41311946.0,41311946.0,-8.0,206.6,206.6,True
2026-09-01,Binh Duong,12045940.0,12046041.0,-8.0,200.8,200.8,True
2026-09-01,Da Nang,11650992.0,11651089.0,-8.0,142.1,142.1,True
2026-09-01,Dong Nai,11305411.0,11305506.0,-8.0,205.6,205.6,True
2026-09-01,Ha Noi,36532770.0,36533076.0,-8.0,174.0,174.0,True
2026-09-01,Ho Chi Minh,41074682.0,41075026.0,-8.0,205.4,205.4,True
2026-10-01,Binh Duong,11976758.0,11976959.0,-6.0,199.6,199.6,True
2026-10-01,Da Nang,11584077.0,11584272.0,-6.0,141.3,141.3,True
2026-10-01,Dong Nai,11240482.0,11240670.0,-6.0,204.4,204.4,True
2026-10-01,Ha Noi,36322955.0,36323564.0,-6.0,173.0,173.0,True
2026-10-01,Ho Chi Minh,40838781.0,40839466.0,-6.0,204.2,204.2,True
2026-11-01,Binh Duong,11929308.0,11929608.0,-6.0,198.8,198.8,True
2026-11-01,Da Nang,11538183.0,11538473.0,-6.0,140.7,140.7,True
2026-11-01,Dong Nai,11195949.0,11196230.0,-6.0,203.6,203.6,True
2026-11-01,Ha Noi,36179049.0,36179958.0,-6.0,172.3,172.3,True
2026-11-01,Ho Chi Minh,40676984.0,40678007.0,-6.0,203.4,203.4,True
2026-12-01,Binh Duong,11882046.0,11882444.0,-6.0,198.0,198.0,True
2026-12-01,Da Nang,11492471.0,11492856.0,-6.0,140.2,140.2,True
2026-12-01,Dong Nai,11151592.0,11151966.0,-6.0,202.8,202.8,True
2026-12-01,Ha Noi,36035713.0,36036920.0,-6.0,171.6,171.6,True
2026-12-01,Ho Chi Minh,40515828.0,40517186.0,-6.0,202.6,202.6,True
2027-01-01,Binh Duong,11834971.0,11835466.0,-4.0,197.2,197.3,True
2027-01-01,Da Nang,11446939.0,11447418.0,-4.0,139.6,139.6,True
2027-01-01,Dong Nai,11107411.0,11107876.0,-4.0,202.0,202.0,True
2027-01-01,Ha Noi,35892945.0,35894447.0,-4.0,170.9,170.9,True
2027-01-01,Ho Chi Minh,40355311.0,40357000.0,-4.0,201.8,201.8,True
2027-02-01,Binh Duong,11808758.0,11809351.0,-4.0,196.8,196.8,True
2027-02-01,Da Nang,11421585.0,11422159.0,-4.0,139.3,139.3,True
2027-02-01,Dong Nai,11082810.0,11083366.0,-4.0,201.5,201.5,True
2027-02-01,Ha Noi,35813446.0,35815244.0,-4.0,170.5,170.5,True
2027-02-01,Ho Chi Minh,40265929.0,40267950.0,-4.0,201.3,201.3,True
2027-03-01,Binh Duong,11782603.0,11783293.0,-4.0,196.4,196.4,True
2027-03-01,Da Nang,11396288.0,11396955.0,-4.0,139.0,139.0,True
2027-03-01,Dong Nai,11058262.0,11058910.0,-4.0,201.1,201.1,True
2027-03-01,Ha Noi,35734123.0,35736216.0,-4.0,170.2,170.2,True
2027-03-01,Ho Chi Minh,40176744.0,40179097.0,-4.0,200.9,200.9,True
2027-04-01,Binh Duong,11756506.0,11757292.0,-2.0,195.9,196.0,True
2027-04-01,Da Nang,11371046.0,11371807.0,-2.0,138.7,138.7,True
2027-04-01,Dong Nai,11033770.0,11034508.0,-2.0,200.6,200.6,True
2027-04-01,Ha Noi,35654976.0,35657362.0,-2.0,169.8,169.8,True
2027-04-01,Ho Chi Minh,40087757.0,40090440.0,-2.0,200.4,200.5,True
2027-05-01,Binh Duong,11750616.0,11751500.0,-2.0,195.8,195.9,True
2027-05-01,Da Nang,11365350.0,11366205.0,-2.0,138.6,138.6,True
2027-05-01,Dong Nai,11028242.0,11029072.0,-2.0,200.5,200.5,True
2027-05-01,Ha Noi,35637114.0,35639796.0,-2.0,169.7,169.7,True
2027-05-01,Ho Chi Minh,40067674.0,40070689.0,-2.0,200.3,200.4,True
2027-06-01,Binh Duong,11744729.0,11745711.0,-2.0,195.7,195.8,True
2027-06-01,Da Nang,11359656.0,11360606.0,-2.0,138.5,138.5,True
2027-06-01,Dong Nai,11022717.0,11023639.0,-2.0,200.4,200.4,True
2027-06-01,Ha Noi,35619261.0,35622238.0,-2.0,169.6,169.6,True
2027-06-01,Ho Chi Minh,40047601.0,40050949.0,-2.0,200.2,200.3,True
2027-07-01,Binh Duong,11738845.0,11739925.0,0.0,195.6,195.7,True
2027-07-01,Da Nang,11353965.0,11355009.0,0.0,138.5,138.5,True
2027-07-01,Dong Nai,11017195.0,11018208.0,0.0,200.3,200.3,True
2027-07-01,Ha Noi,35601416.0,35604689.0,0.0,169.5,169.5,True
2027-07-01,Ho Chi Minh,40027538.0,40031218.0,0.0,200.1,200.2,True
2027-08-01,Binh Duong,11752711.0,11753889.0,0.0,195.9,195.9,True
2027-08-01,Da Nang,11367376.0,11368516.0,0.0,138.6,138.6,True
2027-08-01,Dong Nai,11030208.0,11031314.0,0.0,200.5,200.6,True
2027-08-01,Ha Noi,35643467.0,35647041.0,0.0,169.7,169.7,True
2027-08-01,Ho Chi Minh,40074817.0,40078835.0,0.0,200.4,200.4,True
2027-09-01,Binh Duong,11766593.0,11767870.0,0.0,196.1,196.1,True
2027-09-01,Da Nang,11380803.0,11382039.0,0.0,138.8,138.8,True
2027-09-01,Dong Nai,11043237.0,11044436.0,0.0,200.8,200.8,True
2027-09-01,Ha Noi,35685568.0,35689443.0,0.0,169.9,169.9,True
2027-09-01,Ho Chi Minh,40122152.0,40126509.0,0.0,200.6,200.6,True
2027-10-01,Binh Duong,11780491.0,11781868.0,0.0,196.3,196.4,True
2027-10-01,Da Nang,11394245.0,11395578.0,0.0,139.0,139.0,True
2027-10-01,Dong Nai,11056281.0,11057573.0,0.0,201.0,201.0,True
2027-10-01,Ha Noi,35727719.0,35731896.0,0.0,170.1,170.2,True
2027-10-01,Ho Chi Minh,40169543.0,40174239.0,0.0,200.8,200.9,True
2027-11-01,Binh Duong,11794406.0,11795883.0,0.0,196.6,196.6,True
2027-11-01,Da Nang,11407704.0,11409133.0,0.0,139.1,139.1,True
2027-11-01,Dong Nai,11069340.0,11070726.0,0.0,201.3,201.3,True
2027-11-01,Ha Noi,35769919.0,35774399.0,0.0,170.3,170.4,True
2027-11-01,Ho Chi Minh,40216990.0,40222027.0,0.0,201.1,201.1,True
2027-12-01,Binh Duong,11808337.0,11809914.0,0.0,196.8,196.8,True
2027-12-01,Da Nang,11421178.0,11422704.0,0.0,139.3,139.3,True
2027-12-01,Dong Nai,11082415.0,11083895.0,0.0,201.5,201.5,True
2027-12-01,Ha Noi,35812169.0,35816952.0,0.0,170.5,170.6,True
2027-12-01,Ho Chi Minh,40264493.0,40269871.0,0.0,201.3,201.3,True
