price_lo,price_hi,mid,long_usd,short_usd,total_usd,long_pct_oi,short_pct_oi,pct_from_mark,dominant
4021.58,4044.63,4033.1,1929618.0,0.0,1929618.0,0.341,0.0,-12.5,long
4044.63,4067.67,4056.15,11539247.09,0.0,11539247.09,2.036,0.0,-12.0,long
4067.67,4090.72,4079.19,9247430.78,0.0,9247430.78,1.632,0.0,-11.5,long
4090.72,4113.76,4102.24,10213182.67,0.0,10213182.67,1.802,0.0,-11.0,long
4113.76,4136.81,4125.29,1857726.99,0.0,1857726.99,0.328,0.0,-10.5,long
4136.81,4159.86,4148.33,9318904.48,0.0,9318904.48,1.645,0.0,-10.0,long
4159.86,4182.9,4171.38,6705058.03,0.0,6705058.03,1.183,0.0,-9.5,long
4182.9,4205.95,4194.43,3571785.94,0.0,3571785.94,0.63,0.0,-9.0,long
4205.95,4229.0,4217.47,7345703.02,0.0,7345703.02,1.296,0.0,-8.5,long
4229.0,4252.04,4240.52,8994273.69,0.0,8994273.69,1.587,0.0,-8.0,long
4252.04,4275.09,4263.57,3563637.01,0.0,3563637.01,0.629,0.0,-7.5,long
4275.09,4298.13,4286.61,12481189.03,0.0,12481189.03,2.203,0.0,-7.0,long
4298.13,4321.18,4309.66,20566594.93,0.0,20566594.93,3.629,0.0,-6.5,long
4321.18,4344.23,4332.7,17940477.51,0.0,17940477.51,3.166,0.0,-6.0,long
4344.23,4367.27,4355.75,17996623.96,0.0,17996623.96,3.176,0.0,-5.5,long
4367.27,4390.32,4378.8,11070804.33,0.0,11070804.33,1.954,0.0,-5.0,long
4390.32,4413.37,4401.84,11888029.77,0.0,11888029.77,2.098,0.0,-4.5,long
4413.37,4436.41,4424.89,25895676.24,0.0,25895676.24,4.57,0.0,-4.0,long
4436.41,4459.46,4447.94,32462809.88,0.0,32462809.88,5.729,0.0,-3.5,long
4459.46,4482.5,4470.98,16637482.03,0.0,16637482.03,2.936,0.0,-3.0,long
4482.5,4505.55,4494.03,14298118.56,1244832.66,15542951.22,2.523,0.22,-2.5,long
4505.55,4528.6,4517.07,15298252.43,7257547.48,22555799.92,2.7,1.281,-2.0,long
4528.6,4551.64,4540.12,11426538.26,12060308.05,23486846.32,2.017,2.128,-1.5,short
4551.64,4574.69,4563.17,10692851.74,20099358.09,30792209.83,1.887,3.547,-1.0,short
4574.69,4597.74,4586.21,4606527.37,10654235.65,15260763.02,0.813,1.88,-0.5,short
4597.74,4620.78,4609.26,1190606.58,12622305.94,13812912.52,0.21,2.228,0.0,short
4620.78,4643.83,4632.31,0.0,10681735.87,10681735.87,0.0,1.885,0.5,short
4643.83,4666.88,4655.35,0.0,19191681.33,19191681.33,0.0,3.387,1.0,short
4666.88,4689.92,4678.4,0.0,17299960.82,17299960.82,0.0,3.053,1.5,short
4689.92,4712.97,4701.44,0.0,16809159.02,16809159.02,0.0,2.966,2.0,short
4712.97,4736.01,4724.49,0.0,8396357.21,8396357.21,0.0,1.482,2.5,short
4736.01,4759.06,4747.54,0.0,11207371.32,11207371.32,0.0,1.978,3.0,short
4759.06,4782.11,4770.58,0.0,12077071.79,12077071.79,0.0,2.131,3.5,short
4782.11,4805.15,4793.63,0.0,10337937.28,10337937.28,0.0,1.824,4.0,short
4805.15,4828.2,4816.68,0.0,8347752.17,8347752.17,0.0,1.473,4.5,short
4828.2,4851.25,4839.72,0.0,2951037.15,2951037.15,0.0,0.521,5.0,short
4851.25,4874.29,4862.77,0.0,2424346.81,2424346.81,0.0,0.428,5.5,short
4874.29,4897.34,4885.82,0.0,2459309.85,2459309.85,0.0,0.434,6.0,short
4897.34,4920.38,4908.86,0.0,7103135.01,7103135.01,0.0,1.254,6.5,short
4920.38,4943.43,4931.91,0.0,9210746.73,9210746.73,0.0,1.625,7.0,short
4943.43,4966.48,4954.95,0.0,10366313.34,10366313.34,0.0,1.829,7.5,short
4966.48,4989.52,4978.0,0.0,2097670.51,2097670.51,0.0,0.37,8.0,short
4989.52,5012.57,5001.05,0.0,1399754.98,1399754.98,0.0,0.247,8.5,short
5012.57,5035.62,5024.09,0.0,5206693.08,5206693.08,0.0,0.919,9.0,short
5035.62,5058.66,5047.14,0.0,4727787.79,4727787.79,0.0,0.834,9.5,short
5058.66,5081.71,5070.19,0.0,2011922.5,2011922.5,0.0,0.355,10.0,short
