date,refinancing_rate,deposit_rate
2010-01-01,8.0,7.0
2010-07-01,8.0,7.0
2011-01-01,9.0,8.0
2011-04-01,13.0,12.0
2011-07-01,14.0,14.0
2011-10-01,15.0,14.0
2012-01-01,15.0,14.0
2012-04-01,13.0,12.0
2012-07-01,10.0,9.0
2012-10-01,9.0,8.0
2013-01-01,9.0,8.0
2013-04-01,8.0,7.5
2013-07-01,7.0,7.0
2013-10-01,7.0,7.0
2014-01-01,6.5,6.0
2014-04-01,6.5,6.0
2014-07-01,6.5,5.5
2014-10-01,6.5,5.5
2015-01-01,6.5,5.5
2015-04-01,6.5,5.5
2015-07-01,6.5,5.0
2015-10-01,6.5,5.0
2016-01-01,6.5,5.0
2016-04-01,6.5,5.0
2016-07-01,6.5,5.0
2016-10-01,6.5,5.0
2017-01-01,6.5,5.0
2017-04-01,6.5,5.0
2017-07-01,6.25,4.75
2017-10-01,6.25,4.75
2018-01-01,6.25,4.75
2018-04-01,6.25,4.75
2018-07-01,6.25,4.75
2018-10-01,6.25,4.75
2019-01-01,6.25,4.75
2019-04-01,6.25,4.75
2019-07-01,6.0,4.75
2019-10-01,6.0,4.75
2020-01-01,6.0,4.75
2020-04-01,5.0,4.0
2020-07-01,4.5,3.5
2020-10-01,4.0,3.0
2021-01-01,4.0,3.0
2021-04-01,4.0,3.0
2021-07-01,4.0,3.0
2021-10-01,4.0,3.0
2022-01-01,4.0,3.0
2022-04-01,4.0,3.0
2022-07-01,4.0,3.0
2022-10-01,6.0,5.0
2023-01-01,5.5,4.75
2023-04-01,5.0,4.75
2023-07-01,4.5,3.4
2023-10-01,4.5,3.4
2024-01-01,4.5,3.4
2024-04-01,4.5,3.4
2024-07-01,4.5,3.4
2024-10-01,4.5,3.4
2025-01-01,4.5,3.4
2025-04-01,4.5,3.4
2025-07-01,4.5,3.4
2025-10-01,4.5,3.4
2026-01-01,4.5,3.4
